wavenumber	counts
152.775	18.5263
153.312	-11.7895
153.847	33.8947
154.384	48.7368
154.921	58
155.458	71.6842
155.993	84
156.53	146
157.067	521.053
157.602	1126.74
158.139	1124.32
158.675	979.579
159.21	486
159.747	156.632
160.284	76.6316
160.818	58.4211
161.355	50.6316
161.889	46.9474
162.426	46.1053
162.962	45.1579
163.497	49.2632
164.033	48.9474
164.568	49.579
165.104	48.8421
165.639	48.9474
166.175	50
166.709	44
167.245	42.3158
167.78	40.2105
168.316	50
168.85	40.2105
169.386	42.9474
169.92	44.4211
170.456	45.5789
170.99	43.6842
171.526	47.2632
172.06	47.4737
172.594	50.8421
173.13	45.1579
173.664	46.4211
174.2	45.1579
174.734	46.9474
175.268	47.7895
175.803	45.6842
176.337	42.9474
176.871	45.2632
177.406	42.7368
177.94	42.7368
178.474	41.6842
179.009	42.6316
179.543	46.3158
180.076	43.5789
180.61	43.0526
181.145	44
181.679	41.3684
182.212	44.3158
182.745	42.1053
183.281	41.3684
183.814	41.6842
184.347	38.1053
184.88	43.1579
185.414	42.3158
185.949	46.8421
186.482	43.0526
187.015	42
187.548	47.7895
188.081	43.1579
188.614	45.7895
189.147	44.1053
189.682	40.2105
190.215	44.8421
190.748	41.7895
191.281	46
191.814	41.7895
192.346	43.7895
192.879	47.8947
193.412	44.3158
193.944	45.7895
194.477	36.8421
195.01	44.8421
195.542	44.2105
196.075	42
196.607	46.7368
197.14	39.2632
197.672	44.3158
198.205	45.3684
198.737	41.2632
199.27	39.3684
199.802	40.6316
200.334	42.9474
200.867	40.4211
201.399	40.3158
201.931	42.5263
202.461	42.6316
202.994	43.1579
203.526	42.2105
204.058	42.7368
204.59	47.6842
205.122	38
205.654	44.2105
206.184	42.4211
206.716	45.8947
207.248	43.0526
207.78	42.9474
208.311	43.5789
208.841	40.9474
209.373	40.2105
209.905	41.4737
210.436	41.5789
210.966	43.5789
211.498	41.1579
212.029	40.1053
212.561	43.8947
213.091	43.7895
213.622	40.9474
214.154	45.6842
214.683	43.2632
215.215	47.3684
215.746	40.7368
216.275	40.3158
216.807	40.5263
217.338	43.579
217.867	40.1053
218.399	43.8947
218.928	45.2632
219.459	43.3684
219.99	38.7368
220.519	41.1579
221.05	36.9474
221.58	47.0526
222.111	41.8947
222.64	42
223.171	42.6316
223.7	46.1053
224.231	45.1579
224.759	40.3158
225.29	44.2105
225.819	48.9474
226.35	48.2105
226.879	49.5789
227.409	47.1579
227.938	45.5789
228.469	46.7368
228.997	44.1053
229.526	46.3158
230.057	48.4211
230.585	44
231.116	44.8421
231.644	45.4737
232.173	44.8421
232.703	47.0526
233.231	47.1579
233.76	51.7895
234.29	52.9474
234.818	48.2105
235.347	54.2105
235.877	57.7895
236.405	57.3684
236.933	60.5263
237.462	58.7368
237.992	65.3684
238.52	75.1579
239.048	77.2632
239.576	85.4737
240.106	109.684
240.634	146.947
241.162	273.684
241.69	946.211
242.218	3283.58
242.745	3745.79
243.275	3551.26
243.803	2480.21
244.331	634.737
244.859	165.053
245.386	99.0526
245.914	72.4211
246.442	64.6316
246.971	56.8421
247.499	49.1579
248.026	47.3684
248.554	46
249.081	47.1579
249.609	40.7368
250.136	43.7895
250.663	43.0526
251.191	43.1579
251.718	44.1053
252.245	45.4737
252.773	45.0526
253.3	44.3158
253.827	40.8421
254.354	39.2632
254.881	41.3684
255.409	40.1053
255.936	41.1579
256.463	42.2105
256.99	41.5789
257.515	42
258.042	44
258.569	42.3158
259.095	43.4737
259.622	43.2632
260.149	36
260.676	41.1579
261.203	40.3158
261.728	41.4737
262.254	42.8421
262.781	39.3684
263.308	40.4211
263.834	37.1579
264.359	38.1053
264.885	35.2632
265.412	39.2632
265.938	38.2105
266.463	41.0526
266.989	39.4737
267.516	35.1579
268.042	38.5263
268.566	40
269.093	40.2105
269.619	35.4737
270.143	39.7895
270.67	38.8421
271.196	41.0526
271.72	38.9474
272.246	37.2632
272.772	43.0526
273.296	42.2105
273.822	34.5263
274.346	42.5263
274.872	44.5263
275.398	36.4211
275.922	40.3158
276.448	42
276.972	39.5789
277.498	40.1053
278.022	37.3684
278.547	34.7368
279.071	41.7895
279.597	38.3158
280.121	37.6842
280.646	39.7895
281.17	34.2105
281.695	39.6842
282.219	38.4211
282.744	34.9474
283.268	37.7895
283.793	40
284.317	39.4737
284.84	36.8421
285.366	41.1579
285.889	34.7368
286.414	38.7368
286.938	37.6842
287.461	40.7368
287.986	41.7895
288.509	39.4737
289.033	34.5263
289.558	35.7895
290.081	35.1579
290.604	36.8421
291.129	37.8947
291.652	37.2632
292.175	36.9474
292.698	40.9474
293.223	43.1579
293.746	39.4737
294.269	34.7368
294.791	35.5789
295.316	35.2632
295.839	37.8947
296.362	36.1053
296.884	39.8947
297.407	41.5789
297.932	40.6316
298.454	40.5263
298.977	37.2632
299.5	42.3158
300.022	41.2632
300.545	38.3158
301.067	37.7895
301.59	39.3684
302.114	37.4737
302.636	34.7368
303.159	40.3158
303.681	38.7368
304.203	39.2632
304.726	33.4737
305.248	34.6316
305.77	33.8947
306.292	37.0526
306.814	37.3684
307.337	35.5789
307.859	38.5263
308.381	32.1053
308.903	36.6316
309.425	38
309.947	34.8421
310.469	42.1053
310.991	40.8421
311.512	35.7895
312.032	38.2105
312.554	40.9474
313.076	38
313.598	38
314.119	32.5263
314.641	35.4737
315.163	37.1579
315.683	37.8947
316.204	38.7368
316.726	37.0526
317.247	36
317.769	38.8421
318.29	36.8421
318.81	44.2105
319.331	41.1579
319.853	40.1053
320.374	49.7895
320.893	77.0526
321.415	84.2105
321.936	91.6842
322.457	76.4211
322.976	52.6316
323.498	46.3158
324.019	40.6316
324.538	37.0526
325.059	40.5263
325.58	41.0526
326.099	42.1053
326.62	47.2632
327.141	41.0526
327.66	40.6316
328.181	48
328.7	51.2632
329.221	50
329.742	58.2105
330.26	74.2105
330.781	94.2105
331.3	201.579
331.821	520.947
332.339	949.474
332.86	2228.42
333.379	2379.37
333.899	2285.79
334.418	1643.47
334.938	608.947
335.457	264.211
335.977	107.368
336.496	72
337.016	54.6316
337.535	55.1579
338.053	45.1579
338.573	48.5263
339.092	42.8421
339.612	42.2105
340.13	36.3158
340.649	41.0526
341.169	36.9474
341.687	41.2632
342.205	38.7368
342.725	39.8947
343.243	39.0526
343.761	37.0526
344.281	39.0526
344.799	40
345.317	39.3684
345.837	34.6316
346.355	38.6316
346.873	38.1053
347.391	39.4737
347.91	32.1053
348.428	35.3684
348.946	36.4211
349.464	30
349.983	36.4211
350.501	34.9474
351.019	33.0526
351.536	36.6316
352.054	32
352.572	36.3158
353.089	31.6842
353.608	35.5789
354.126	36.9474
354.643	31.7895
355.161	40.3158
355.678	37.1579
356.195	33.3684
356.713	37.5789
357.23	33.4737
357.747	31.5789
358.265	31.3684
358.782	35.0526
359.299	31.2632
359.816	33.3684
360.333	31.6842
360.85	34.6316
361.367	31.5789
361.884	31.8947
362.401	30.9474
362.918	32.3158
363.435	34.2105
363.952	35.7895
364.469	35.8947
364.986	32.3158
365.503	33.0526
366.019	33.2632
366.536	34.8421
367.053	34.9474
367.568	34.8421
368.084	34.6316
368.601	36.1053
369.117	31.0526
369.634	32.5263
370.15	34.4211
370.665	33.3684
371.182	32
371.698	28.3158
372.214	33.6842
372.731	29.6842
373.245	34.8421
373.762	36.7368
374.278	33.6842
374.794	36.2105
375.308	29.7895
375.825	31.7895
376.341	35.6842
376.855	31.7895
377.371	33.6842
377.887	34.8421
378.401	36.1053
378.917	34
379.433	32.4211
379.947	30.9474
380.463	33.3684
380.977	30.4211
381.493	31.8947
382.009	30.2105
382.523	34.6316
383.039	34.8421
383.553	33.7895
384.068	34.6316
