wavenumber	counts
103.582	6.84211
103.582	-33.0526
103.978	2.10526
104.372	4.10526
104.767	4.84211
105.161	5.36842
105.555	8.73684
105.951	8.73684
106.345	8.42105
106.739	10.2105
107.134	10
107.528	8.8421
107.922	13.1579
108.318	8.63158
108.711	8.73684
109.105	11.4737
109.501	7.47368
109.894	10.2105
110.288	7.78947
110.682	7.26316
111.076	8.31579
111.471	9.05263
111.865	7.68421
112.258	8.52632
112.652	8.63158
113.046	9.36842
113.441	8.94737
113.835	9.89474
114.228	7.89474
114.622	8.10526
115.015	8.73684
115.409	9.89474
115.802	8.8421
116.197	7.05263
116.591	11.3684
116.984	7.57895
117.378	7.26316
117.771	7.89474
118.165	9.05263
118.558	12.1053
118.951	11.0526
119.345	13.4737
119.738	8.94737
120.131	10.7368
120.525	9.1579
120.918	8.31579
121.311	8.31579
121.704	9.05263
122.098	9.1579
122.491	8.21053
122.884	8.84211
123.277	10.8421
123.67	11.7895
124.062	10.1053
124.455	10.3158
124.848	11.6842
125.241	11.2632
125.634	9.05263
126.027	11.2632
126.42	9.68421
126.812	11.2632
127.204	13.4737
127.597	12.7368
127.99	13.2632
128.383	13.1579
128.775	13.5789
129.167	14.2105
129.56	13.5789
129.953	16.3158
130.344	15.6842
130.737	17.5789
131.13	22.4211
131.521	24.9474
131.914	27.3684
132.307	33.2632
132.699	43.6842
133.09	82.7368
133.483	346
133.874	1208.32
134.267	1866.74
134.659	2542.74
135.05	3455.37
135.443	3720
135.835	3696.74
136.226	3694
136.619	3616.42
137.01	3533.05
137.402	3379.68
137.793	2713.16
138.186	1892.74
138.577	876
138.969	79.1579
139.36	30.5263
139.752	21.3684
140.143	18.1053
140.535	15.6842
140.926	17.5789
141.318	15.0526
141.709	11.2632
142.101	11.4737
142.492	11.7895
142.882	11.2632
143.275	11.0526
143.665	12.1053
144.057	8.42105
144.448	10.4211
144.839	12.2105
145.231	11.8947
145.621	7.57895
146.012	10.9474
146.404	9.26316
146.794	10.1053
147.185	12.6316
147.575	12.9474
147.967	11.6842
148.357	9.78947
148.748	10.9474
149.138	11.0526
149.53	9.68421
149.92	10.6316
150.31	7.78947
150.701	7.57895
151.091	10
151.483	9.26316
151.873	9.57895
152.263	8.73684
152.653	10.3158
153.044	10.5263
153.434	9.47368
153.825	9.15789
154.215	9.57895
154.605	9.68421
154.996	10.9474
155.386	8.94737
155.776	10.4211
156.166	6.94737
156.556	10
156.946	8.42105
157.336	7.05263
157.725	7.89474
158.115	7.68421
158.505	8.63158
158.895	9.78947
159.285	10.6316
159.675	9.1579
160.065	9.89474
160.454	10.1053
160.844	7.57895
161.234	9.47368
161.624	9.36842
162.013	9.36842
162.402	10.5263
162.791	10.3158
163.181	10.9474
