wavenumber,counts,wavenumber_adjusted
103.188,0.105,103.139245366689
103.582,0.04,103.533076171687
103.978,0.106667,103.928906117828
104.372,0.13,104.322736922826
104.767,0.128333,104.717567298395
105.161,0.156667,105.111398103394
105.555,0.151667,105.505228908392
105.951,0.156667,105.901058854533
106.345,0.146667,106.294889659531
106.739,0.216667,106.688720464529
107.134,0.261667,107.083550840099
107.528,0.196667,107.477381645097
107.922,0.216667,107.871212450095
108.318,0.223333,108.267042396236
108.711,0.235,108.659873630663
109.105,0.205,109.053704435661
109.501,0.213333,109.449534381802
109.894,0.193333,109.842365616229
110.288,0.206667,110.236196421228
110.682,0.158333,110.630027226226
111.076,0.173333,111.023858031224
111.471,0.186667,111.418688406794
111.865,0.18,111.812519211792
112.258,0.206667,112.205350446219
112.652,0.163333,112.599181251218
113.046,0.166667,112.993012056216
113.441,0.175,113.387842431785
113.835,0.198333,113.781673236784
114.228,0.17,114.174504471211
114.622,0.21,114.568335276209
115.015,0.18,114.961166510637
115.409,0.19,115.354997315635
115.802,0.193333,115.747828550062
116.197,0.203333,116.142658925632
116.591,0.213333,116.53648973063
116.984,0.215,116.929320965057
117.378,0.186667,117.323151770055
117.771,0.18,117.715983004483
118.165,0.17,118.109813809481
118.558,0.19,118.502645043908
118.951,0.21,118.895476278336
119.345,0.19,119.289307083334
119.738,0.17,119.682138317761
120.131,0.186667,120.074969552189
120.525,0.178333,120.468800357187
120.918,0.185,120.861631591614
121.311,0.21,121.254462826041
121.704,0.18,121.647294060469
122.098,0.186667,122.041124865467
122.491,0.19,122.433956099894
122.884,0.166667,122.826787334322
123.277,0.19,123.219618568749
123.67,0.176667,123.612449803176
124.062,0.181667,124.004281467032
124.455,0.193333,124.39711270146
124.848,0.18,124.789943935887
125.241,0.133333,125.182775170314
125.634,0.183333,125.575606404741
126.027,0.161667,125.968437639169
126.42,0.2,126.361268873596
126.812,0.176667,126.753100537452
127.204,0.175,127.144932201308
127.597,0.16,127.537763435736
127.99,0.19,127.930594670163
128.383,0.178333,128.32342590459
128.775,0.171667,128.715257568446
129.167,0.16,129.107089232303
129.56,0.2,129.49992046673
129.953,0.193333,129.892751701157
130.344,0.205,130.283583794442
130.737,0.181667,130.67641502887
131.13,0.191667,131.069246263297
131.521,0.183333,131.460078356582
131.914,0.173333,131.852909591009
132.307,0.176667,132.245740825437
132.699,0.186667,132.637572489293
133.09,0.188333,133.028404582578
133.483,0.19,133.421235817005
133.874,0.195,133.81206791029
134.267,0.183333,134.204899144718
134.659,0.175,134.596730808574
135.05,0.186667,134.987562901859
135.443,0.196667,135.380394136286
135.835,0.21,135.772225800143
136.226,0.173333,136.163057893428
136.619,0.206667,136.555889127855
137.01,0.196667,136.94672122114
137.402,0.218333,137.338552884996
137.793,0.201667,137.729384978282
138.186,0.18,138.122216212709
138.577,0.205,138.513048305994
138.969,0.198333,138.90487996985
