wavenumber,counts,wavenumber_adjusted
197.067,0.604,198.946145840736
197.674,0.636,199.553145840736
198.283,0.768,200.162145840736
198.893,0.776,200.772145840736
199.502,0.844,201.381145840736
200.109,0.996,201.988145840736
200.718,1.076,202.597145840736
201.327,1.056,203.206145840736
201.934,1.12,203.813145840736
202.543,1.192,204.422145840736
203.15,1.164,205.029145840736
203.759,1.204,205.638145840736
204.368,1.184,206.247145840736
204.975,1.128,206.854145840736
205.584,1.036,207.463145840736
206.19,1.2,208.069145840736
206.799,1.112,208.678145840736
207.408,1.124,209.287145840736
208.014,1.052,209.893145840736
208.623,1.144,210.502145840736
209.229,1.152,211.108145840736
209.838,1.208,211.717145840736
210.444,1.084,212.323145840736
211.053,1.168,212.932145840736
211.659,1.104,213.538145840736
212.267,1.048,214.146145840736
212.874,1.064,214.753145840736
213.482,1.22,215.361145840736
214.088,1.116,215.967145840736
214.696,1.12,216.575145840736
215.302,1.132,217.181145840736
215.911,1.24,217.790145840736
216.517,1.2,218.396145840736
217.122,1.132,219.001145840736
217.731,1.224,219.610145840736
218.336,1.224,220.215145840736
218.944,1.076,220.823145840736
219.55,1.224,221.429145840736
220.156,1.112,222.035145840736
220.764,1.144,222.643145840736
221.369,1.06,223.248145840736
221.977,1.208,223.856145840736
222.583,1.124,224.462145840736
223.188,1.132,225.067145840736
223.796,1.112,225.675145840736
224.401,1.192,226.280145840736
225.007,1.148,226.886145840736
225.614,1.108,227.493145840736
226.22,1.208,228.099145840736
226.825,1.204,228.704145840736
227.43,1.148,229.309145840736
228.038,1.216,229.917145840736
228.643,1.22,230.522145840736
229.248,1.208,231.127145840736
229.853,1.1,231.732145840736
230.46,1.18,232.339145840736
231.065,1.18,232.944145840736
231.671,1.164,233.550145840736
232.275,1.252,234.154145840736
232.88,1.156,234.759145840736
233.487,1.236,235.366145840736
234.092,1.196,235.971145840736
234.697,1.2,236.576145840736
235.302,1.08,237.181145840736
235.907,1.12,237.786145840736
236.511,1.204,238.390145840736
237.118,1.276,238.997145840736
237.723,1.156,239.602145840736
238.327,1.076,240.206145840736
238.932,1.22,240.811145840736
239.536,1.228,241.415145840736
240.141,1.24,242.020145840736
240.745,1.112,242.624145840736
241.35,1.084,243.229145840736
241.954,1.188,243.833145840736
242.558,1.296,244.437145840736
243.162,1.208,245.041145840736
243.767,1.26,245.646145840736
244.371,1.084,246.250145840736
244.975,1.152,246.854145840736
245.579,1.196,247.458145840736
246.183,1.108,248.062145840736
246.787,1.236,248.666145840736
247.391,1.268,249.270145840736
247.995,1.252,249.874145840736
248.599,1.064,250.478145840736
249.203,1.22,251.082145840736
249.807,1.16,251.686145840736
250.411,1.188,252.290145840736
251.014,1.156,252.893145840736
251.618,1.272,253.497145840736
252.222,1.232,254.101145840736
252.825,1.2,254.704145840736
253.429,1.2,255.308145840736
254.03,1.144,255.909145840736
254.634,1.2,256.513145840736
255.237,1.224,257.116145840736
255.841,1.156,257.720145840736
256.444,1.12,258.323145840736
257.048,1.208,258.927145840736
257.651,1.128,259.530145840736
258.252,1.188,260.131145840736
258.855,1.232,260.734145840736
259.458,1.104,261.337145840736
260.062,1.208,261.941145840736
260.665,1.236,262.544145840736
261.266,1.184,263.145145840736
261.869,1.22,263.748145840736
262.472,1.22,264.351145840736
263.075,1.1,264.954145840736
