wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
197.067,198.946145840736,1.62533,1.316,1.34533,1.22133,1.19333,1.164,1.088,1.07733,1.02533,1.06933,1.15733,1.6,1.86933,3.588,3.17733,3.05733,3.09333,3.11067,3.04,3.01867
197.674,199.553145840736,2.132,1.63333,1.67333,1.444,1.42667,1.416,1.36,1.27867,1.29467,1.28533,1.28133,1.95867,2.37333,5.19733,4.93067,4.816,4.864,4.524,4.69733,4.72533
198.283,200.162145840736,2.544,2.11467,2.04133,1.89067,1.81733,1.86,1.744,1.744,1.70933,1.74667,1.69067,2.44667,3.29733,7.636,7.404,7.10133,7.03867,6.58133,6.91067,7.04533
198.893,200.772145840736,2.87067,2.30133,2.22933,2.22533,2.196,2.092,2.04267,1.99867,1.988,2.016,2.07733,2.81067,4.016,9.68,9.528,9.08267,9.09867,8.52,8.784,9.032
199.502,201.381145840736,3.248,2.38533,2.46,2.408,2.332,2.284,2.296,2.188,2.17733,2.29333,2.32,3.03733,4.55467,11.0173,10.9587,10.4773,10.4067,9.71733,10.0733,10.26
200.109,201.988145840736,3.408,2.652,2.55467,2.46933,2.45733,2.33733,2.364,2.29333,2.29067,2.39067,2.43733,3.25067,5.00267,12.176,11.7067,11.3587,10.9693,10.5173,11.0813,11.62
200.718,202.597145840736,3.616,2.71067,2.67867,2.58267,2.52267,2.39867,2.36533,2.428,2.38533,2.38667,2.556,3.41333,5.27467,12.4947,12.2693,11.868,11.8453,11.2693,11.5747,11.9707
201.327,203.206145840736,3.54,2.78,2.73733,2.616,2.61467,2.532,2.52267,2.50133,2.556,2.516,2.608,3.536,5.42533,13.0253,12.5653,12.028,12.228,11.508,11.5333,12.3467
201.934,203.813145840736,3.492,2.82667,2.792,2.68933,2.65467,2.496,2.60667,2.472,2.62133,2.52267,2.556,3.44533,5.65467,12.9773,12.9653,12.2093,12.0787,11.612,12.0627,12.3627
202.543,204.422145840736,3.56267,2.83333,2.75867,2.684,2.57467,2.50133,2.564,2.556,2.51067,2.56133,2.60133,3.39467,5.59867,13.116,12.8947,12.312,12.1013,11.6413,11.8533,12.4813
203.15,205.029145840736,3.49867,2.824,2.83067,2.616,2.644,2.668,2.59067,2.57467,2.57333,2.50533,2.62,3.48667,5.57733,13.2733,12.8187,12.3227,12.5227,11.7987,11.6587,12.484
203.759,205.638145840736,3.728,2.83867,2.71067,2.66133,2.72933,2.56267,2.57467,2.51333,2.584,2.624,2.56533,3.516,5.56933,13.152,12.864,12.38,12.288,11.8147,11.9387,12.6587
204.368,206.247145840736,3.596,2.928,2.728,2.71067,2.61467,2.696,2.46933,2.55733,2.588,2.524,2.65733,3.43333,5.44667,13.2773,13.0013,12.3853,12.26,11.804,12.1547,12.8493
204.975,206.854145840736,3.68667,2.936,2.796,2.776,2.58533,2.648,2.51467,2.64133,2.48267,2.648,2.62933,3.63733,5.544,13.6213,13.2133,12.468,12.5787,11.7973,12.1107,12.8733
205.584,207.463145840736,3.79467,2.83467,2.792,2.76667,2.60267,2.57067,2.58267,2.57467,2.55733,2.53733,2.67333,3.5,5.6,13.392,13.3467,12.724,13.012,12.0013,12.3133,12.9107
206.19,208.069145840736,3.652,2.936,2.82533,2.67733,2.696,2.55333,2.624,2.51333,2.59067,2.564,2.62267,3.42267,5.58267,13.5893,13.448,12.664,12.6107,12.2307,12.256,12.808
206.799,208.678145840736,3.596,2.864,2.732,2.73867,2.66133,2.54133,2.636,2.61867,2.636,2.58133,2.588,3.56933,5.67067,13.532,13.4173,12.6947,12.7387,12.0747,12.3373,12.8893
207.408,209.287145840736,3.80667,2.84667,2.78933,2.796,2.53067,2.536,2.636,2.524,2.54667,2.54133,2.66533,3.57467,5.66,13.716,13.444,12.9293,12.7147,12.072,12.404,13.0747
