wavenumber	counts
92.9165	67.1579
93.5349	34
94.151	74.1053
94.7692	83.3684
95.3853	84.6316
96.0035	93.5789
96.6195	106.632
97.2354	137.368
97.8534	222.632
98.4693	250.211
99.0851	246.421
99.703	237.789
100.319	228.211
100.934	230
101.552	220.105
102.168	221.368
102.783	195.579
103.401	161.789
104.017	113.368
104.632	96.2105
105.247	98.2105
105.865	98.4211
106.48	91.3684
107.096	98.5263
107.711	94.6316
108.328	93.4737
108.943	91.3684
109.559	97.3684
110.174	90.8421
110.789	97.1579
111.406	95.6842
112.021	97.0526
112.636	99.2632
113.251	108
113.865	101.684
114.48	101.263
115.095	97.3684
115.712	105.158
116.327	108.316
116.941	109.053
117.556	121.789
118.17	162.421
118.785	289.158
119.399	383.368
120.014	406.737
120.628	405.053
121.243	408.526
121.857	383.368
122.471	359.263
123.085	355.053
123.7	322.211
124.314	262.211
124.928	172.526
125.542	115.684
126.156	100
126.77	99.2632
127.384	94.7368
127.998	101.158
128.612	98.3158
129.226	107.158
129.839	100.526
130.453	96.8421
131.067	106
131.678	100
132.292	104
132.906	101.368
133.519	98.6316
134.133	108.737
134.746	126.105
135.357	241.684
135.971	327.474
136.584	349.368
137.198	385.474
137.811	383.789
138.422	383.684
139.035	375.158
139.648	354.947
140.261	324.105
140.874	282.211
141.485	188.947
142.098	149.053
142.711	131.579
143.322	130
143.935	120.632
144.548	133.158
145.161	128.211
145.771	124.526
146.384	123.474
146.997	119.263
147.607	115.053
148.22	118.526
148.83	102.737
149.443	86.2105
150.055	88.3158
150.665	90.8421
151.278	87.1579
151.888	85.1579
152.5	83.4737
153.113	86
153.723	88.6316
154.335	88.3158
154.945	85.4737
155.557	88.6316
156.167	86.6316
156.779	90.6316
157.389	107.789
158.001	108.632
158.611	113.158
159.222	108.842
159.832	114.316
160.444	104.526
161.054	112.316
161.665	103.895
162.275	98.1053
162.884	91.1579
163.496	87.1579
164.105	87.4737
164.717	87.3684
165.326	83.0526
165.935	84.4211
166.547	84.3158
167.156	81.1579
167.765	81.6842
168.376	85.0526
168.986	82.1053
169.595	78.4211
170.206	82.7368
170.815	77.0526
171.424	84.1053
172.035	84.421
172.644	80.1053
173.252	84.6316
173.861	83.1579
174.472	76.5263
175.081	82.7368
175.689	86.1053
176.298	88.8421
176.909	92.6316
177.517	121.368
178.126	245.368
178.734	319.789
179.343	333.579
179.953	329.263
180.562	310.632
181.17	286.632
181.778	277.474
182.386	268.316
182.995	262.316
183.603	236
184.213	134.842
184.821	91.0526
185.429	86.8421
186.037	87.579
186.645	98
187.253	138.632
187.861	211.789
188.469	208.316
189.076	209.789
189.684	214.737
190.292	197.579
190.9	189.263
191.507	183.158
192.115	172.526
192.722	167.895
193.33	129.158
193.937	89.6842
194.545	85.6842
195.152	80.3158
195.76	82.3158
196.367	73.8947
196.974	77.7895
197.581	80.7368
198.186	81.8947
198.794	82.8421
199.401	72.7368
200.008	78.7368
200.615	78
201.222	74.421
201.829	73.6842
202.436	68.2105
203.041	75.1579
203.647	75.7895
204.254	71.8947
204.861	74.9474
205.468	76.8421
206.072	79.2632
206.679	77.7895
207.285	76.3158
207.892	77.4737
208.496	76.6316
209.103	73.2632
209.709	70.4211
210.316	77.8947
210.92	76
211.526	73.3684
212.133	74.7368
212.737	72.8421
213.343	78.5263
213.949	73.1579
214.553	77.2632
215.159	74.5263
215.765	83.2632
216.369	108
216.975	107.474
217.579	107.579
218.185	109.158
218.791	108.211
219.395	99.6842
220	104.421
220.604	102.737
221.21	91.8947
221.813	84.3158
222.419	70.8421
223.022	72.1053
223.628	72
224.231	70.6316
224.837	69.1579
225.44	74.9474
226.045	72.5263
226.649	71.6842
227.254	75.1579
227.857	71.5789
228.462	72.1053
229.065	69.4737
229.67	70.3158
230.273	72.7368
230.876	71.4737
231.481	73.8947
232.084	75.2631
232.689	68.9474
233.292	71.3684
233.895	69.1579
234.5	70.7368
235.102	71.1579
235.705	67.7895
236.31	73.7895
236.912	68.9474
237.515	71.2631
238.119	73.1579
238.722	67.4737
239.324	71.6842
239.927	71.5789
240.531	67.7895
241.133	67.2632
241.736	66
242.338	68.7368
242.942	73.4737
243.544	70.2105
244.146	68.3158
244.748	70
245.35	75.3684
245.955	66.4211
246.556	69.5789
247.158	70.4211
247.76	73.1579
248.362	72.9474
248.964	73.0526
249.566	75.579
250.169	73.6842
250.771	70.8421
251.373	79.7895
251.974	70.421
252.576	69.6842
