wavenumber,counts,wavenumber_adjusted
197.067,0.396,198.946145840736
197.674,0.397333,199.553145840736
198.283,0.561333,200.162145840736
198.893,0.606667,200.772145840736
199.502,0.737333,201.381145840736
200.109,0.776,201.988145840736
200.718,0.836,202.597145840736
201.327,0.837333,203.206145840736
201.934,0.896,203.813145840736
202.543,0.881333,204.422145840736
203.15,0.893333,205.029145840736
203.759,0.925333,205.638145840736
204.368,0.858667,206.247145840736
204.975,0.837333,206.854145840736
205.584,0.906667,207.463145840736
206.19,0.894667,208.069145840736
206.799,0.888,208.678145840736
207.408,0.9,209.287145840736
208.014,0.933333,209.893145840736
208.623,0.873333,210.502145840736
209.229,0.902667,211.108145840736
209.838,0.886667,211.717145840736
210.444,0.88,212.323145840736
211.053,0.861333,212.932145840736
211.659,0.929333,213.538145840736
212.267,0.878667,214.146145840736
212.874,0.830667,214.753145840736
213.482,0.896,215.361145840736
214.088,0.766667,215.967145840736
214.696,0.916,216.575145840736
215.302,0.936,217.181145840736
215.911,0.909333,217.790145840736
216.517,0.864,218.396145840736
217.122,0.917333,219.001145840736
217.731,0.924,219.610145840736
218.336,0.788,220.215145840736
218.944,0.906667,220.823145840736
219.55,0.936,221.429145840736
220.156,0.889333,222.035145840736
220.764,0.898667,222.643145840736
221.369,0.978667,223.248145840736
221.977,0.905333,223.856145840736
222.583,0.932,224.462145840736
223.188,0.94,225.067145840736
223.796,0.896,225.675145840736
224.401,0.898667,226.280145840736
225.007,0.910667,226.886145840736
225.614,0.873333,227.493145840736
226.22,0.856,228.099145840736
226.825,0.873333,228.704145840736
227.43,0.934667,229.309145840736
228.038,0.968,229.917145840736
228.643,0.973333,230.522145840736
229.248,0.934667,231.127145840736
229.853,0.982667,231.732145840736
230.46,0.946667,232.339145840736
231.065,0.974667,232.944145840736
231.671,0.970667,233.550145840736
232.275,0.946667,234.154145840736
232.88,0.914667,234.759145840736
233.487,0.925333,235.366145840736
234.092,0.993333,235.971145840736
234.697,0.906667,236.576145840736
235.302,1.03733,237.181145840736
235.907,1.004,237.786145840736
236.511,1.05333,238.390145840736
237.118,0.977333,238.997145840736
237.723,0.965333,239.602145840736
238.327,1.01867,240.206145840736
238.932,0.996,240.811145840736
239.536,0.988,241.415145840736
240.141,0.976,242.020145840736
240.745,1.02267,242.624145840736
241.35,0.997333,243.229145840736
241.954,0.997333,243.833145840736
242.558,1.06267,244.437145840736
243.162,0.966667,245.041145840736
243.767,1.052,245.646145840736
244.371,1.04933,246.250145840736
244.975,1.028,246.854145840736
245.579,0.966667,247.458145840736
246.183,0.989333,248.062145840736
246.787,1.00267,248.666145840736
247.391,1.04267,249.270145840736
247.995,1.03467,249.874145840736
248.599,0.966667,250.478145840736
249.203,0.968,251.082145840736
249.807,1.02667,251.686145840736
250.411,0.997333,252.290145840736
251.014,0.925333,252.893145840736
251.618,0.985333,253.497145840736
252.222,0.946667,254.101145840736
252.825,1.01867,254.704145840736
253.429,0.997333,255.308145840736
254.03,0.949333,255.909145840736
254.634,0.986667,256.513145840736
255.237,0.984,257.116145840736
255.841,1.01333,257.720145840736
256.444,1.02267,258.323145840736
257.048,1.03067,258.927145840736
257.651,0.969333,259.530145840736
258.252,0.984,260.131145840736
258.855,0.949333,260.734145840736
259.458,0.945333,261.337145840736
260.062,0.986667,261.941145840736
260.665,0.964,262.544145840736
261.266,1.004,263.145145840736
