wavenumber,counts,wavenumber_adjusted
197.067,0.450667,198.946145840736
197.674,0.446667,199.553145840736
198.283,0.566667,200.162145840736
198.893,0.685333,200.772145840736
199.502,0.729333,201.381145840736
200.109,0.818667,201.988145840736
200.718,0.924,202.597145840736
201.327,0.925333,203.206145840736
201.934,0.974667,203.813145840736
202.543,1.01867,204.422145840736
203.15,1.01733,205.029145840736
203.759,0.981333,205.638145840736
204.368,1.03467,206.247145840736
204.975,0.921333,206.854145840736
205.584,0.977333,207.463145840736
206.19,0.990667,208.069145840736
206.799,1.012,208.678145840736
207.408,0.972,209.287145840736
208.014,0.988,209.893145840736
208.623,1.028,210.502145840736
209.229,0.992,211.108145840736
209.838,0.994667,211.717145840736
210.444,1.02533,212.323145840736
211.053,0.956,212.932145840736
211.659,1.028,213.538145840736
212.267,1.012,214.146145840736
212.874,0.978667,214.753145840736
213.482,0.990667,215.361145840736
214.088,0.996,215.967145840736
214.696,0.974667,216.575145840736
215.302,1.008,217.181145840736
215.911,1.07733,217.790145840736
216.517,0.977333,218.396145840736
217.122,1.02,219.001145840736
217.731,1.05333,219.610145840736
218.336,1.068,220.215145840736
218.944,0.988,220.823145840736
219.55,0.978667,221.429145840736
220.156,1.02267,222.035145840736
220.764,1.064,222.643145840736
221.369,0.989333,223.248145840736
221.977,0.964,223.856145840736
222.583,1.05467,224.462145840736
223.188,1.068,225.067145840736
223.796,1.03067,225.675145840736
224.401,0.998667,226.280145840736
225.007,1.01733,226.886145840736
225.614,1.06133,227.493145840736
226.22,1.04933,228.099145840736
226.825,1.06533,228.704145840736
227.43,1.01333,229.309145840736
228.038,1.06667,229.917145840736
228.643,0.997333,230.522145840736
229.248,1.108,231.127145840736
229.853,1.07867,231.732145840736
230.46,1.07867,232.339145840736
231.065,1.1,232.944145840736
231.671,1.05467,233.550145840736
232.275,1.12133,234.154145840736
232.88,1.10267,234.759145840736
233.487,1.03867,235.366145840736
234.092,1.12667,235.971145840736
234.697,1.04933,236.576145840736
235.302,1.15867,237.181145840736
235.907,1.112,237.786145840736
236.511,1.20267,238.390145840736
237.118,1.088,238.997145840736
237.723,1.108,239.602145840736
238.327,1.09467,240.206145840736
238.932,1.14133,240.811145840736
239.536,1.11333,241.415145840736
240.141,1.116,242.020145840736
240.745,1.14533,242.624145840736
241.35,1.09067,243.229145840736
241.954,1.16,243.833145840736
242.558,1.096,244.437145840736
243.162,1.192,245.041145840736
243.767,1.15467,245.646145840736
244.371,1.15067,246.250145840736
244.975,1.18667,246.854145840736
245.579,1.11067,247.458145840736
246.183,1.11467,248.062145840736
246.787,1.136,248.666145840736
247.391,1.144,249.270145840736
247.995,1.16133,249.874145840736
248.599,1.13867,250.478145840736
249.203,1.088,251.082145840736
249.807,1.11867,251.686145840736
250.411,1.09733,252.290145840736
251.014,1.06933,252.893145840736
251.618,1.12533,253.497145840736
252.222,1.124,254.101145840736
252.825,1.104,254.704145840736
253.429,1.14933,255.308145840736
254.03,1.2,255.909145840736
254.634,1.13733,256.513145840736
255.237,1.12533,257.116145840736
255.841,1.08533,257.720145840736
256.444,1.06533,258.323145840736
257.048,1.12667,258.927145840736
257.651,1.14,259.530145840736
258.252,1.14,260.131145840736
258.855,1.05867,260.734145840736
259.458,1.136,261.337145840736
260.062,1.08667,261.941145840736
260.665,1.10267,262.544145840736
261.266,1.14,263.145145840736
261.869,1.148,263.748145840736
262.472,1.17867,264.351145840736
263.075,1.108,264.954145840736
263.676,1.20267,265.555145840736
264.278,1.04667,266.157145840736
264.881,1.112,266.760145840736
265.482,1.11733,267.361145840736
266.085,1.1,267.964145840736
266.688,1.03333,268.567145840736
267.288,1.12133,269.167145840736
267.891,1.10933,269.770145840736
268.493,1.15733,270.372145840736
269.094,1.13333,270.973145840736
269.696,1.11467,271.575145840736
270.299,1.19467,272.178145840736
270.899,1.12533,272.778145840736
271.502,1.15067,273.381145840736
272.104,1.10133,273.983145840736
272.704,1.13867,274.583145840736
273.307,1.17467,275.186145840736
273.907,1.07333,275.786145840736
274.509,1.18133,276.388145840736
275.109,1.14,276.988145840736
275.711,1.06133,277.590145840736
276.313,1.16667,278.192145840736
276.913,1.18267,278.792145840736
277.515,1.14,279.394145840736
278.115,1.17867,279.994145840736
278.717,1.10133,280.596145840736
279.317,1.18133,281.196145840736
279.919,1.19867,281.798145840736
280.519,1.09333,282.398145840736
281.12,1.10533,282.999145840736
281.72,1.12,283.599145840736
282.322,1.124,284.201145840736
282.921,1.16933,284.800145840736
283.521,1.14533,285.400145840736
284.122,1.212,286.001145840736
284.722,1.12,286.601145840736
285.323,1.19867,287.202145840736
285.923,1.17867,287.802145840736
286.522,1.06933,288.401145840736
287.124,1.176,289.003145840736
287.723,1.10533,289.602145840736
288.324,1.17333,290.203145840736
288.923,1.176,290.802145840736
289.523,1.152,291.402145840736
290.124,1.144,292.003145840736
290.723,1.16133,292.602145840736
291.322,1.156,293.201145840736
291.923,1.11733,293.802145840736
292.522,1.17333,294.401145840736
293.121,1.17333,295.000145840736
293.72,1.13333,295.599145840736
294.321,1.196,296.200145840736
294.919,1.15067,296.798145840736
295.518,1.11867,297.397145840736
296.117,1.19067,297.996145840736
296.718,1.14133,298.597145840736
297.316,1.1,299.195145840736
297.915,1.156,299.794145840736
298.514,1.12267,300.393145840736
299.112,1.184,300.991145840736
299.713,1.19467,301.592145840736
300.311,1.13733,302.190145840736
300.91,1.11333,302.789145840736
301.508,1.14133,303.387145840736
302.106,1.13733,303.985145840736
302.705,1.14533,304.584145840736
303.305,1.136,305.184145840736
303.903,1.08133,305.782145840736
304.501,1.11467,306.380145840736
305.099,1.10933,306.978145840736
305.698,1.08267,307.577145840736
306.296,1.116,308.175145840736
306.894,1.08933,308.773145840736
307.492,1.14533,309.371145840736
308.09,1.13867,309.969145840736
308.688,1.13067,310.567145840736
309.285,1.13467,311.164145840736
309.883,1.128,311.762145840736
310.481,1.124,312.360145840736
311.079,1.136,312.958145840736
311.677,1.09333,313.556145840736
312.274,1.104,314.153145840736
312.872,1.088,314.751145840736
313.47,1.04267,315.349145840736
314.067,1.12533,315.946145840736
314.665,1.092,316.544145840736
315.262,1.06667,317.141145840736
315.86,1.052,317.739145840736
316.457,1.08533,318.336145840736
317.054,1.12267,318.933145840736
317.652,1.092,319.531145840736
318.249,1.072,320.128145840736
318.846,1.12667,320.725145840736
319.443,1.05067,321.322145840736
320.041,1.10933,321.920145840736
320.636,1.10533,322.515145840736
321.233,1.08,323.112145840736
321.83,1.13067,323.709145840736
322.427,1.02133,324.306145840736
323.024,1.116,324.903145840736
323.621,1.12133,325.500145840736
324.216,1.036,326.095145840736
324.813,1.04,326.692145840736
325.409,1.11733,327.288145840736
326.006,0.985333,327.885145840736
326.603,1.05733,328.482145840736
327.198,1.06933,329.077145840736
327.794,1.08533,329.673145840736
328.391,1.04133,330.270145840736
328.987,1.00133,330.866145840736
329.582,1.09867,331.461145840736
330.178,1.07067,332.057145840736
330.775,1.052,332.654145840736
331.369,1.03733,333.248145840736
331.966,1.03067,333.845145840736
332.562,1.076,334.441145840736
333.158,1.028,335.037145840736
333.753,1.02133,335.632145840736
334.349,1.09467,336.228145840736
334.945,1.14,336.824145840736
335.539,1.01867,337.418145840736
336.135,1.02533,338.014145840736
336.729,1.00533,338.608145840736
337.325,1.01467,339.204145840736
337.921,1.09333,339.800145840736
338.515,1.04933,340.394145840736
339.111,1.044,340.990145840736
339.705,1.07067,341.584145840736
340.301,1.05467,342.180145840736
340.895,1.06267,342.774145840736
341.491,0.984,343.370145840736
342.086,1.10267,343.965145840736
342.68,1.06133,344.559145840736
343.276,1.06267,345.155145840736
343.869,1.08533,345.748145840736
344.465,1.044,346.344145840736
345.058,1.12,346.937145840736
345.654,1.09733,347.533145840736
346.247,1.092,348.126145840736
346.841,0.98,348.720145840736
347.436,1.02533,349.315145840736
348.029,1.03867,349.908145840736
348.625,1.09733,350.504145840736
349.218,1.03467,351.097145840736
349.813,1.048,351.692145840736
350.406,1.112,352.285145840736
350.999,1.05333,352.878145840736
351.595,1.112,353.474145840736
352.188,1.076,354.067145840736
352.783,1.07467,354.662145840736
353.376,1.04933,355.255145840736
353.969,1.08667,355.848145840736
354.563,1.08133,356.442145840736
355.156,1.068,357.035145840736
355.749,0.968,357.628145840736
356.344,1.08533,358.223145840736
356.937,1.05733,358.816145840736
357.529,1.04133,359.408145840736
358.124,1.116,360.003145840736
358.717,1.08,360.596145840736
359.309,0.978667,361.188145840736
359.902,1.04533,361.781145840736
360.496,1.02667,362.375145840736
361.089,1.028,362.968145840736
361.681,1.06533,363.560145840736
362.274,0.996,364.153145840736
362.866,1.06267,364.745145840736
363.46,1.01867,365.339145840736
364.053,1.10267,365.932145840736
364.645,1.052,366.524145840736
365.237,1.072,367.116145840736
365.829,1.064,367.708145840736
366.423,1.05733,368.302145840736
367.015,1.028,368.894145840736
367.607,1.068,369.486145840736
368.199,1.04267,370.078145840736
368.791,1.008,370.670145840736
369.383,1.008,371.262145840736
369.975,1.02133,371.854145840736
370.567,0.944,372.446145840736
371.159,1.02267,373.038145840736
371.753,1.02533,373.632145840736
372.344,1.024,374.223145840736
372.936,1.03733,374.815145840736
373.528,1.044,375.407145840736
374.119,1.03867,375.998145840736
374.711,1.008,376.590145840736
375.303,1.02133,377.182145840736
375.894,1.00133,377.773145840736
376.486,1.008,378.365145840736
377.077,1.01333,378.956145840736
377.668,0.976,379.547145840736
378.26,1.04267,380.139145840736
378.851,1.032,380.730145840736
379.442,1.01467,381.321145840736
380.034,0.976,381.913145840736
380.623,1.03733,382.502145840736
381.214,0.94,383.093145840736
381.805,0.958667,383.684145840736
382.396,0.973333,384.275145840736
382.987,0.96,384.866145840736
383.578,1.012,385.457145840736
384.169,1.036,386.048145840736
384.76,1.04933,386.639145840736
385.351,0.964,387.230145840736
385.94,0.932,387.819145840736
386.53,1.00267,388.409145840736
387.121,1.01067,389.000145840736
387.712,1.024,389.591145840736
388.303,0.970667,390.182145840736
388.893,1.036,390.772145840736
389.482,0.932,391.361145840736
390.073,1.01867,391.952145840736
390.663,0.910667,392.542145840736
391.254,1.02533,393.133145840736
391.842,0.918667,393.721145840736
392.432,1.01333,394.311145840736
393.023,0.954667,394.902145840736
393.613,1.016,395.492145840736
394.202,0.956,396.081145840736
394.792,1.008,396.671145840736
395.382,0.969333,397.261145840736
395.97,0.877333,397.849145840736
396.56,0.905333,398.439145840736
397.151,1.008,399.030145840736
397.739,0.96,399.618145840736
398.329,1.04267,400.208145840736
398.919,1.02533,400.798145840736
399.507,0.992,401.386145840736
400.097,0.949333,401.976145840736
400.686,0.96,402.565145840736
401.274,0.898667,403.153145840736
401.864,0.96,403.743145840736
402.452,0.981333,404.331145840736
403.042,0.94,404.921145840736
403.631,0.894667,405.510145840736
404.219,0.985333,406.098145840736
404.809,0.953333,406.688145840736
405.396,0.934667,407.275145840736
405.986,1.00533,407.865145840736
406.573,0.946667,408.452145840736
407.163,0.984,409.042145840736
407.75,0.946667,409.629145840736
408.34,0.926667,410.219145840736
408.927,0.904,410.806145840736
409.516,0.921333,411.395145840736
410.103,0.897333,411.982145840736
410.693,0.949333,412.572145840736
411.28,0.962667,413.159145840736
411.867,0.956,413.746145840736
412.456,0.928,414.335145840736
413.043,0.874667,414.922145840736
413.632,0.92,415.511145840736
414.219,0.952,416.098145840736
414.808,0.885333,416.687145840736
415.395,0.909333,417.274145840736
415.982,0.921333,417.861145840736
416.571,0.956,418.450145840736
417.158,0.866667,419.037145840736
417.745,0.938667,419.624145840736
418.333,0.861333,420.212145840736
418.92,0.909333,420.799145840736
419.507,0.930667,421.386145840736
420.095,0.878667,421.974145840736
