wavenumber,counts,wavenumber_adjusted
197.067,1.51733,198.946145840736
197.674,1.96133,199.553145840736
198.283,2.32267,200.162145840736
198.893,2.63067,200.772145840736
199.502,2.816,201.381145840736
200.109,2.94133,201.988145840736
200.718,3.16267,202.597145840736
201.327,3.072,203.206145840736
201.934,3.156,203.813145840736
202.543,3.14133,204.422145840736
203.15,3.128,205.029145840736
203.759,3.13067,205.638145840736
204.368,3.148,206.247145840736
204.975,3.23867,206.854145840736
205.584,3.132,207.463145840736
206.19,3.188,208.069145840736
206.799,3.232,208.678145840736
207.408,3.16267,209.287145840736
208.014,3.176,209.893145840736
208.623,3.196,210.502145840736
209.229,3.15733,211.108145840736
209.838,3.15867,211.717145840736
210.444,3.124,212.323145840736
211.053,3.224,212.932145840736
211.659,3.25067,213.538145840736
212.267,3.14267,214.146145840736
212.874,3.18667,214.753145840736
213.482,3.30933,215.361145840736
214.088,3.16267,215.967145840736
214.696,3.236,216.575145840736
215.302,3.27867,217.181145840736
215.911,3.132,217.790145840736
216.517,3.23333,218.396145840736
217.122,3.29467,219.001145840736
217.731,3.22533,219.610145840736
218.336,3.17067,220.215145840736
218.944,3.20133,220.823145840736
219.55,3.18267,221.429145840736
220.156,3.27467,222.035145840736
220.764,3.21467,222.643145840736
221.369,3.35067,223.248145840736
221.977,3.33333,223.856145840736
222.583,3.31733,224.462145840736
223.188,3.31067,225.067145840736
223.796,3.27067,225.675145840736
224.401,3.332,226.280145840736
225.007,3.36133,226.886145840736
225.614,3.39733,227.493145840736
226.22,3.39333,228.099145840736
226.825,3.41067,228.704145840736
227.43,3.336,229.309145840736
228.038,3.33067,229.917145840736
228.643,3.30267,230.522145840736
229.248,3.44667,231.127145840736
229.853,3.40667,231.732145840736
230.46,3.444,232.339145840736
231.065,3.45867,232.944145840736
231.671,3.53333,233.550145840736
232.275,3.44667,234.154145840736
232.88,3.37733,234.759145840736
233.487,3.47733,235.366145840736
234.092,3.62933,235.971145840736
234.697,3.536,236.576145840736
235.302,3.54267,237.181145840736
235.907,3.48267,237.786145840736
236.511,3.57333,238.390145840736
237.118,3.58933,238.997145840736
237.723,3.61733,239.602145840736
238.327,3.644,240.206145840736
238.932,3.71733,240.811145840736
239.536,3.72933,241.415145840736
240.141,3.50667,242.020145840736
240.745,3.704,242.624145840736
241.35,3.72267,243.229145840736
241.954,3.70533,243.833145840736
242.558,3.68533,244.437145840736
243.162,3.75333,245.041145840736
243.767,3.76933,245.646145840736
244.371,3.79733,246.250145840736
244.975,3.75733,246.854145840736
245.579,3.65067,247.458145840736
246.183,3.728,248.062145840736
246.787,3.792,248.666145840736
247.391,3.74667,249.270145840736
247.995,3.70667,249.874145840736
248.599,3.75867,250.478145840736
249.203,3.832,251.082145840736
249.807,3.76667,251.686145840736
250.411,3.72667,252.290145840736
251.014,3.736,252.893145840736
251.618,3.78667,253.497145840736
252.222,3.62267,254.101145840736
252.825,3.80267,254.704145840736
253.429,3.76267,255.308145840736
254.03,3.76133,255.909145840736
254.634,3.64933,256.513145840736
255.237,3.57067,257.116145840736
255.841,3.668,257.720145840736
256.444,3.716,258.323145840736
257.048,3.56,258.927145840736
257.651,3.63867,259.530145840736
258.252,3.78933,260.131145840736
258.855,3.716,260.734145840736
259.458,3.72533,261.337145840736
260.062,3.62,261.941145840736
260.665,3.68667,262.544145840736
261.266,3.72533,263.145145840736
261.869,3.584,263.748145840736
262.472,3.78533,264.351145840736
263.075,3.73733,264.954145840736
263.676,3.64667,265.555145840736
264.278,3.67467,266.157145840736
264.881,3.772,266.760145840736
265.482,3.68667,267.361145840736
266.085,3.74533,267.964145840736
266.688,3.716,268.567145840736
267.288,3.692,269.167145840736
267.891,3.63067,269.770145840736
268.493,3.70667,270.372145840736
269.094,3.62533,270.973145840736
269.696,3.61067,271.575145840736
270.299,3.652,272.178145840736
270.899,3.72,272.778145840736
271.502,3.712,273.381145840736
272.104,3.75733,273.983145840736
272.704,3.78667,274.583145840736
273.307,3.724,275.186145840736
273.907,3.81067,275.786145840736
274.509,3.828,276.388145840736
275.109,3.74133,276.988145840736
275.711,3.63067,277.590145840736
276.313,3.83733,278.192145840736
276.913,3.66533,278.792145840736
277.515,3.76267,279.394145840736
278.115,3.80933,279.994145840736
278.717,3.91867,280.596145840736
279.317,3.93333,281.196145840736
279.919,3.83733,281.798145840736
280.519,3.92533,282.398145840736
281.12,3.79067,282.999145840736
281.72,3.76533,283.599145840736
282.322,3.88133,284.201145840736
282.921,3.788,284.800145840736
283.521,3.76933,285.400145840736
284.122,3.952,286.001145840736
284.722,3.96133,286.601145840736
285.323,3.83467,287.202145840736
285.923,3.90133,287.802145840736
286.522,3.76933,288.401145840736
287.124,3.864,289.003145840736
287.723,3.86933,289.602145840736
288.324,3.79067,290.203145840736
288.923,3.908,290.802145840736
289.523,3.90133,291.402145840736
290.124,3.94667,292.003145840736
290.723,3.88533,292.602145840736
291.322,3.82933,293.201145840736
291.923,3.87867,293.802145840736
292.522,3.91333,294.401145840736
293.121,3.81867,295.000145840736
293.72,3.90533,295.599145840736
294.321,3.88667,296.200145840736
294.919,3.83733,296.798145840736
295.518,3.92933,297.397145840736
296.117,3.93333,297.996145840736
296.718,3.988,298.597145840736
297.316,4.00133,299.195145840736
297.915,3.96267,299.794145840736
298.514,3.86533,300.393145840736
299.112,3.92133,300.991145840736
299.713,3.86133,301.592145840736
300.311,3.93067,302.190145840736
300.91,3.92667,302.789145840736
301.508,3.852,303.387145840736
302.106,3.93067,303.985145840736
302.705,3.92133,304.584145840736
303.305,3.93467,305.184145840736
303.903,3.92,305.782145840736
304.501,3.83467,306.380145840736
305.099,3.876,306.978145840736
305.698,3.90667,307.577145840736
306.296,3.93333,308.175145840736
306.894,3.85333,308.773145840736
307.492,4.06933,309.371145840736
308.09,3.86667,309.969145840736
308.688,3.81333,310.567145840736
309.285,3.89333,311.164145840736
309.883,3.86933,311.762145840736
310.481,3.83067,312.360145840736
311.079,3.832,312.958145840736
311.677,3.912,313.556145840736
312.274,3.82533,314.153145840736
312.872,3.696,314.751145840736
313.47,3.87333,315.349145840736
314.067,3.76133,315.946145840736
314.665,3.77333,316.544145840736
315.262,3.84533,317.141145840736
315.86,3.72933,317.739145840736
316.457,3.936,318.336145840736
317.054,3.83867,318.933145840736
317.652,3.89467,319.531145840736
318.249,3.77333,320.128145840736
318.846,3.87867,320.725145840736
319.443,3.76933,321.322145840736
320.041,3.73333,321.920145840736
320.636,3.80267,322.515145840736
321.233,3.764,323.112145840736
321.83,3.85333,323.709145840736
