wavenumber,counts,wavenumber_adjusted
197.067,1.324,198.946145840736
197.674,1.5,199.553145840736
198.283,1.752,200.162145840736
198.893,1.952,200.772145840736
199.502,2.456,201.381145840736
200.109,2.5,201.988145840736
200.718,2.668,202.597145840736
201.327,2.896,203.206145840736
201.934,2.928,203.813145840736
202.543,2.72,204.422145840736
203.15,2.828,205.029145840736
203.759,2.852,205.638145840736
204.368,2.892,206.247145840736
204.975,3.076,206.854145840736
205.584,3.068,207.463145840736
206.19,2.948,208.069145840736
206.799,2.86,208.678145840736
207.408,3.04,209.287145840736
208.014,2.94,209.893145840736
208.623,2.92,210.502145840736
209.229,2.948,211.108145840736
209.838,2.956,211.717145840736
210.444,2.864,212.323145840736
211.053,2.88,212.932145840736
211.659,2.968,213.538145840736
212.267,2.984,214.146145840736
212.874,2.8,214.753145840736
213.482,3.072,215.361145840736
214.088,2.912,215.967145840736
214.696,2.964,216.575145840736
215.302,2.888,217.181145840736
215.911,2.976,217.790145840736
216.517,3.164,218.396145840736
217.122,2.872,219.001145840736
217.731,3.02,219.610145840736
218.336,2.98,220.215145840736
218.944,3.072,220.823145840736
219.55,3.076,221.429145840736
220.156,2.856,222.035145840736
220.764,3.048,222.643145840736
221.369,3.06,223.248145840736
221.977,2.904,223.856145840736
222.583,2.832,224.462145840736
223.188,3.088,225.067145840736
223.796,3.16,225.675145840736
224.401,3.072,226.280145840736
225.007,3.052,226.886145840736
225.614,3.124,227.493145840736
226.22,3.108,228.099145840736
226.825,2.988,228.704145840736
227.43,3.056,229.309145840736
228.038,3.032,229.917145840736
228.643,3.076,230.522145840736
229.248,3.192,231.127145840736
229.853,2.96,231.732145840736
230.46,3.18,232.339145840736
231.065,3.08,232.944145840736
231.671,3.136,233.550145840736
232.275,3.14,234.154145840736
232.88,3.308,234.759145840736
233.487,3.076,235.366145840736
234.092,3.152,235.971145840736
234.697,3.22,236.576145840736
235.302,3.368,237.181145840736
235.907,3.308,237.786145840736
236.511,3.192,238.390145840736
237.118,3.272,238.997145840736
237.723,3.36,239.602145840736
238.327,3.384,240.206145840736
238.932,3.368,240.811145840736
239.536,3.196,241.415145840736
240.141,3.164,242.020145840736
240.745,3.356,242.624145840736
241.35,3.492,243.229145840736
241.954,3.38,243.833145840736
242.558,3.196,244.437145840736
243.162,3.392,245.041145840736
243.767,3.244,245.646145840736
244.371,3.472,246.250145840736
244.975,3.376,246.854145840736
245.579,3.416,247.458145840736
246.183,3.396,248.062145840736
246.787,3.52,248.666145840736
247.391,3.492,249.270145840736
247.995,3.54,249.874145840736
248.599,3.444,250.478145840736
249.203,3.32,251.082145840736
249.807,3.524,251.686145840736
250.411,3.508,252.290145840736
251.014,3.532,252.893145840736
251.618,3.44,253.497145840736
252.222,3.548,254.101145840736
252.825,3.396,254.704145840736
253.429,3.348,255.308145840736
254.03,3.496,255.909145840736
254.634,3.472,256.513145840736
255.237,3.392,257.116145840736
255.841,3.58,257.720145840736
256.444,3.42,258.323145840736
257.048,3.528,258.927145840736
257.651,3.188,259.530145840736
258.252,3.368,260.131145840736
258.855,3.484,260.734145840736
259.458,3.54,261.337145840736
260.062,3.46,261.941145840736
260.665,3.34,262.544145840736
261.266,3.164,263.145145840736
261.869,3.332,263.748145840736
262.472,3.38,264.351145840736
263.075,3.428,264.954145840736
263.676,3.272,265.555145840736
264.278,3.288,266.157145840736
264.881,3.264,266.760145840736
265.482,3.2,267.361145840736
266.085,3.34,267.964145840736
266.688,3.412,268.567145840736
267.288,3.356,269.167145840736
267.891,3.612,269.770145840736
268.493,3.556,270.372145840736
269.094,3.58,270.973145840736
269.696,3.464,271.575145840736
270.299,3.376,272.178145840736
270.899,3.424,272.778145840736
271.502,3.432,273.381145840736
272.104,3.484,273.983145840736
272.704,3.492,274.583145840736
273.307,3.464,275.186145840736
273.907,3.34,275.786145840736
274.509,3.356,276.388145840736
275.109,3.576,276.988145840736
275.711,3.32,277.590145840736
276.313,3.4,278.192145840736
276.913,3.48,278.792145840736
277.515,3.62,279.394145840736
278.115,3.4738,279.994145840736
278.717,3.525,280.596145840736
279.317,3.344,281.196145840736
279.919,3.656,281.798145840736
280.519,3.44,282.398145840736
281.12,3.48,282.999145840736
281.72,3.52533,283.599145840736
282.322,3.64083,284.201145840736
282.921,3.60617,284.800145840736
283.521,3.65275,285.400145840736
284.122,3.73192,286.001145840736
284.722,3.556,286.601145840736
285.323,3.63853,287.202145840736
285.923,3.52,287.802145840736
286.522,3.732,288.401145840736
287.124,3.396,289.003145840736
287.723,3.428,289.602145840736
288.324,3.576,290.203145840736
288.923,3.476,290.802145840736
289.523,3.58,291.402145840736
290.124,3.572,292.003145840736
290.723,3.364,292.602145840736
291.322,3.532,293.201145840736
291.923,3.524,293.802145840736
292.522,3.648,294.401145840736
293.121,3.612,295.000145840736
293.72,3.424,295.599145840736
294.321,3.528,296.200145840736
294.919,3.428,296.798145840736
295.518,3.6,297.397145840736
296.117,3.564,297.996145840736
296.718,3.432,298.597145840736
297.316,3.596,299.195145840736
297.915,3.4,299.794145840736
298.514,3.712,300.393145840736
299.112,3.48,300.991145840736
299.713,3.668,301.592145840736
300.311,3.292,302.190145840736
300.91,3.444,302.789145840736
301.508,3.5,303.387145840736
302.106,3.424,303.985145840736
302.705,3.516,304.584145840736
303.305,3.676,305.184145840736
303.903,3.576,305.782145840736
304.501,3.644,306.380145840736
305.099,3.6,306.978145840736
305.698,3.476,307.577145840736
306.296,3.4,308.175145840736
306.894,3.54,308.773145840736
307.492,3.504,309.371145840736
308.09,3.492,309.969145840736
308.688,3.576,310.567145840736
309.285,3.54,311.164145840736
309.883,3.64,311.762145840736
310.481,3.508,312.360145840736
311.079,3.508,312.958145840736
311.677,3.524,313.556145840736
312.274,3.456,314.153145840736
312.872,3.372,314.751145840736
313.47,3.504,315.349145840736
314.067,3.492,315.946145840736
314.665,3.58,316.544145840736
315.262,3.348,317.141145840736
315.86,3.532,317.739145840736
316.457,3.352,318.336145840736
317.054,3.64,318.933145840736
317.652,3.432,319.531145840736
318.249,3.524,320.128145840736
318.846,3.26,320.725145840736
319.443,3.444,321.322145840736
320.041,3.424,321.920145840736
320.636,3.284,322.515145840736
321.233,3.496,323.112145840736
321.83,3.372,323.709145840736
322.427,3.668,324.306145840736
323.024,3.312,324.903145840736
323.621,3.56,325.500145840736
324.216,3.38,326.095145840736
324.813,3.512,326.692145840736
325.409,3.38,327.288145840736
326.006,3.408,327.885145840736
326.603,3.424,328.482145840736
327.198,3.472,329.077145840736
327.794,3.5,329.673145840736
328.391,3.324,330.270145840736
328.987,3.412,330.866145840736
329.582,3.428,331.461145840736
330.178,3.28,332.057145840736
330.775,3.48,332.654145840736
331.369,3.288,333.248145840736
331.966,3.428,333.845145840736
332.562,3.488,334.441145840736
333.158,3.48,335.037145840736
333.753,3.3,335.632145840736
334.349,3.328,336.228145840736
334.945,3.512,336.824145840736
335.539,3.3,337.418145840736
336.135,3.332,338.014145840736
336.729,3.336,338.608145840736
337.325,3.424,339.204145840736
337.921,3.292,339.800145840736
338.515,3.288,340.394145840736
339.111,3.452,340.990145840736
339.705,3.436,341.584145840736
340.301,3.512,342.180145840736
340.895,3.432,342.774145840736
341.491,3.384,343.370145840736
342.086,3.396,343.965145840736
342.68,3.324,344.559145840736
343.276,3.596,345.155145840736
343.869,3.412,345.748145840736
344.465,3.528,346.344145840736
345.058,3.204,346.937145840736
345.654,3.544,347.533145840736
346.247,3.388,348.126145840736
346.841,3.308,348.720145840736
347.436,3.516,349.315145840736
348.029,3.48,349.908145840736
348.625,3.368,350.504145840736
349.218,3.496,351.097145840736
349.813,3.328,351.692145840736
350.406,3.312,352.285145840736
350.999,3.324,352.878145840736
351.595,3.344,353.474145840736
352.188,3.508,354.067145840736
352.783,3.204,354.662145840736
353.376,3.52,355.255145840736
353.969,3.348,355.848145840736
354.563,3.48,356.442145840736
355.156,3.504,357.035145840736
355.749,3.344,357.628145840736
356.344,3.448,358.223145840736
356.937,3.452,358.816145840736
357.529,3.392,359.408145840736
358.124,3.4,360.003145840736
358.717,3.324,360.596145840736
359.309,3.368,361.188145840736
359.902,3.388,361.781145840736
360.496,3.444,362.375145840736
361.089,3.432,362.968145840736
361.681,3.448,363.560145840736
362.274,3.268,364.153145840736
362.866,3.46,364.745145840736
363.46,3.372,365.339145840736
364.053,3.276,365.932145840736
364.645,3.264,366.524145840736
365.237,3.58,367.116145840736
365.829,3.34,367.708145840736
366.423,3.308,368.302145840736
367.015,3.248,368.894145840736
367.607,3.452,369.486145840736
368.199,3.236,370.078145840736
368.791,3.268,370.670145840736
369.383,3.336,371.262145840736
369.975,3.32,371.854145840736
370.567,3.292,372.446145840736
371.159,3.388,373.038145840736
371.753,3.428,373.632145840736
372.344,3.276,374.223145840736
372.936,3.364,374.815145840736
373.528,3.376,375.407145840736
374.119,3.292,375.998145840736
374.711,3.38,376.590145840736
375.303,3.252,377.182145840736
375.894,3.252,377.773145840736
376.486,3.344,378.365145840736
377.077,3.368,378.956145840736
377.668,3.444,379.547145840736
378.26,3.308,380.139145840736
378.851,3.356,380.730145840736
379.442,3.14,381.321145840736
380.034,3.208,381.913145840736
380.623,3.404,382.502145840736
381.214,3.168,383.093145840736
381.805,3.236,383.684145840736
382.396,3.236,384.275145840736
382.987,3.192,384.866145840736
383.578,3.248,385.457145840736
384.169,3.22,386.048145840736
384.76,3.12,386.639145840736
385.351,3.3,387.230145840736
385.94,3.14,387.819145840736
386.53,3.224,388.409145840736
387.121,3.252,389.000145840736
387.712,3.192,389.591145840736
388.303,3.184,390.182145840736
388.893,3.068,390.772145840736
389.482,3.004,391.361145840736
390.073,3.244,391.952145840736
390.663,3.092,392.542145840736
391.254,3.196,393.133145840736
391.842,3.008,393.721145840736
392.432,3.128,394.311145840736
393.023,3.216,394.902145840736
393.613,3.204,395.492145840736
394.202,3.256,396.081145840736
394.792,3.16,396.671145840736
395.382,3.316,397.261145840736
395.97,2.932,397.849145840736
396.56,3.292,398.439145840736
397.151,3.104,399.030145840736
397.739,3.032,399.618145840736
398.329,3.108,400.208145840736
398.919,3.012,400.798145840736
399.507,3.136,401.386145840736
400.097,3.26,401.976145840736
400.686,3.124,402.565145840736
401.274,3.132,403.153145840736
401.864,3.232,403.743145840736
402.452,3.124,404.331145840736
403.042,3.044,404.921145840736
403.631,3.072,405.510145840736
404.219,2.88,406.098145840736
404.809,3.064,406.688145840736
405.396,3.048,407.275145840736
405.986,3.064,407.865145840736
406.573,3.112,408.452145840736
407.163,3.188,409.042145840736
407.75,3.136,409.629145840736
408.34,3.168,410.219145840736
408.927,3.044,410.806145840736
409.516,3.14,411.395145840736
410.103,3.056,411.982145840736
410.693,3.096,412.572145840736
411.28,3.028,413.159145840736
411.867,2.952,413.746145840736
412.456,3.056,414.335145840736
413.043,3,414.922145840736
413.632,3.216,415.511145840736
414.219,3.124,416.098145840736
414.808,2.9,416.687145840736
415.395,2.988,417.274145840736
415.982,2.996,417.861145840736
416.571,2.896,418.450145840736
417.158,2.936,419.037145840736
417.745,2.832,419.624145840736
418.333,2.868,420.212145840736
418.92,3.044,420.799145840736
419.507,2.968,421.386145840736
420.095,2.816,421.974145840736
420.682,2.872,422.561145840736
421.268,2.864,423.147145840736
421.855,2.936,423.734145840736
422.443,3.172,424.322145840736
423.03,3.06,424.909145840736
423.616,2.836,425.495145840736
424.203,2.936,426.082145840736
