wavenumber,counts,wavenumber_adjusted
197.067,4.15,198.946145840736
197.674,4.85,199.553145840736
198.283,8.65,200.162145840736
198.893,10.35,200.772145840736
199.502,10.875,201.381145840736
200.109,11.925,201.988145840736
200.718,12.1,202.597145840736
201.327,12.6,203.206145840736
201.934,13.525,203.813145840736
202.543,12.225,204.422145840736
203.15,12.7,205.029145840736
203.759,12.775,205.638145840736
204.368,12.975,206.247145840736
204.975,12.6,206.854145840736
205.584,13.225,207.463145840736
206.19,13.125,208.069145840736
206.799,12.825,208.678145840736
207.408,12.95,209.287145840736
208.014,13.1,209.893145840736
208.623,13.6,210.502145840736
209.229,12.95,211.108145840736
209.838,12.975,211.717145840736
210.444,13.4,212.323145840736
211.053,13.225,212.932145840736
211.659,13.4,213.538145840736
212.267,13.55,214.146145840736
212.874,13.4,214.753145840736
213.482,13.8,215.361145840736
214.088,15,215.967145840736
214.696,13.625,216.575145840736
215.302,14.45,217.181145840736
215.911,14.25,217.790145840736
216.517,14.1,218.396145840736
217.122,15.6,219.001145840736
217.731,15,219.610145840736
218.336,14.55,220.215145840736
218.944,14.85,220.823145840736
219.55,14.4,221.429145840736
220.156,15.35,222.035145840736
220.764,15.4,222.643145840736
221.369,15.3,223.248145840736
221.977,15.8,223.856145840736
222.583,15.5,224.462145840736
223.188,16.55,225.067145840736
223.796,16.5,225.675145840736
224.401,17,226.280145840736
225.007,18.025,226.886145840736
225.614,17.65,227.493145840736
226.22,18.45,228.099145840736
226.825,18.8,228.704145840736
227.43,18.775,229.309145840736
228.038,20.35,229.917145840736
228.643,20.65,230.522145840736
229.248,20.925,231.127145840736
229.853,21.25,231.732145840736
230.46,20.6,232.339145840736
231.065,20.225,232.944145840736
231.671,20.375,233.550145840736
232.275,20.55,234.154145840736
232.88,21.4,234.759145840736
233.487,20.475,235.366145840736
234.092,21.15,235.971145840736
234.697,20,236.576145840736
235.302,21.45,237.181145840736
235.907,20.95,237.786145840736
236.511,20.8,238.390145840736
237.118,21.225,238.997145840736
237.723,20.5,239.602145840736
238.327,22.05,240.206145840736
238.932,20.625,240.811145840736
239.536,21.4,241.415145840736
240.141,20.375,242.020145840736
