wavenumber,counts,wavenumber_adjusted
197.067,2.8,198.946145840736
197.674,1.4,199.553145840736
198.283,4.725,200.162145840736
198.893,5.575,200.772145840736
199.502,5.7,201.381145840736
200.109,5.75,201.988145840736
200.718,6.7,202.597145840736
201.327,6.525,203.206145840736
201.934,6.4,203.813145840736
202.543,6.5,204.422145840736
203.15,7.35,205.029145840736
203.759,6.675,205.638145840736
204.368,6.65,206.247145840736
204.975,7.3,206.854145840736
205.584,6.7,207.463145840736
206.19,6.55,208.069145840736
206.799,7.1,208.678145840736
207.408,6.925,209.287145840736
208.014,7.125,209.893145840736
208.623,7.125,210.502145840736
209.229,6.4,211.108145840736
209.838,7.1,211.717145840736
210.444,6.6,212.323145840736
211.053,7.55,212.932145840736
211.659,7.025,213.538145840736
212.267,7.375,214.146145840736
212.874,7.475,214.753145840736
213.482,6.95,215.361145840736
214.088,7.975,215.967145840736
214.696,7.125,216.575145840736
215.302,7.25,217.181145840736
215.911,7.2,217.790145840736
216.517,7.525,218.396145840736
217.122,7.55,219.001145840736
217.731,7.05,219.610145840736
218.336,7.375,220.215145840736
218.944,7.325,220.823145840736
219.55,7.75,221.429145840736
220.156,7.45,222.035145840736
220.764,7.925,222.643145840736
221.369,8.3,223.248145840736
221.977,8.575,223.856145840736
222.583,8.25,224.462145840736
223.188,8.05,225.067145840736
223.796,8.65,225.675145840736
224.401,8.75,226.280145840736
225.007,8.7,226.886145840736
225.614,8.375,227.493145840736
226.22,8.6,228.099145840736
226.825,9.3,228.704145840736
227.43,9.6,229.309145840736
228.038,8.95,229.917145840736
228.643,9.8,230.522145840736
229.248,9.8,231.127145840736
229.853,9.8,231.732145840736
230.46,9.825,232.339145840736
231.065,10.025,232.944145840736
231.671,9.975,233.550145840736
232.275,10.025,234.154145840736
232.88,10.2,234.759145840736
233.487,10.975,235.366145840736
234.092,10.2,235.971145840736
234.697,11.025,236.576145840736
235.302,10.475,237.181145840736
235.907,10.35,237.786145840736
236.511,10.3,238.390145840736
237.118,9.25,238.997145840736
237.723,10.575,239.602145840736
238.327,9.975,240.206145840736
238.932,10.55,240.811145840736
239.536,10.65,241.415145840736
240.141,10.175,242.020145840736
240.745,10.3,242.624145840736
241.35,10.7,243.229145840736
241.954,10.8,243.833145840736
242.558,10.35,244.437145840736
243.162,10.7,245.041145840736
243.767,10.675,245.646145840736
244.371,10.875,246.250145840736
244.975,10.275,246.854145840736
245.579,10.4,247.458145840736
246.183,10.025,248.062145840736
246.787,10.7,248.666145840736
247.391,10.075,249.270145840736
247.995,10.925,249.874145840736
248.599,11.05,250.478145840736
249.203,9.95,251.082145840736
249.807,11.4,251.686145840736
250.411,10.725,252.290145840736
251.014,10.6,252.893145840736
251.618,10.775,253.497145840736
252.222,10.05,254.101145840736
252.825,10.6,254.704145840736
253.429,11.65,255.308145840736
254.03,10.85,255.909145840736
254.634,10.275,256.513145840736
255.237,10.95,257.116145840736
255.841,11.125,257.720145840736
256.444,11.125,258.323145840736
257.048,10.45,258.927145840736
257.651,11.025,259.530145840736
258.252,11.4,260.131145840736
258.855,10.8,260.734145840736
259.458,11.125,261.337145840736
260.062,10.35,261.941145840736
260.665,11.25,262.544145840736
261.266,11.475,263.145145840736
261.869,11.4,263.748145840736
262.472,10.775,264.351145840736
263.075,10.8,264.954145840736
263.676,11.175,265.555145840736
264.278,10.225,266.157145840736
264.881,11.225,266.760145840736
265.482,10.925,267.361145840736
266.085,11.65,267.964145840736
266.688,10.95,268.567145840736
267.288,11.35,269.167145840736
267.891,11.875,269.770145840736
268.493,11.975,270.372145840736
269.094,11.775,270.973145840736
269.696,12.475,271.575145840736
270.299,10.875,272.178145840736
270.899,11.225,272.778145840736
271.502,11.15,273.381145840736
272.104,12.2,273.983145840736
272.704,11.8,274.583145840736
273.307,12.05,275.186145840736
273.907,12.525,275.786145840736
274.509,12.45,276.388145840736
275.109,11.775,276.988145840736
275.711,10.9,277.590145840736
276.313,12.375,278.192145840736
276.913,12.45,278.792145840736
277.515,11.525,279.394145840736
278.115,12.075,279.994145840736
278.717,12.4,280.596145840736
279.317,12.625,281.196145840736
279.919,11.625,281.798145840736
280.519,11.4,282.398145840736
281.12,12.55,282.999145840736
281.72,13.375,283.599145840736
282.322,11.45,284.201145840736
282.921,12.35,284.800145840736
283.521,12.05,285.400145840736
284.122,12.55,286.001145840736
284.722,12.475,286.601145840736
285.323,12.875,287.202145840736
285.923,12.925,287.802145840736
286.522,13.075,288.401145840736
287.124,12.725,289.003145840736
287.723,13.8,289.602145840736
288.324,13.125,290.203145840736
288.923,14,290.802145840736
289.523,12.85,291.402145840736
290.124,13.45,292.003145840736
290.723,13.225,292.602145840736
291.322,13.35,293.201145840736
291.923,14.25,293.802145840736
292.522,13.45,294.401145840736
293.121,13.675,295.000145840736
293.72,14.075,295.599145840736
294.321,14.15,296.200145840736
294.919,13.25,296.798145840736
295.518,14.775,297.397145840736
296.117,13.45,297.996145840736
296.718,15,298.597145840736
297.316,14.6,299.195145840736
297.915,14.75,299.794145840736
298.514,15.35,300.393145840736
299.112,15.95,300.991145840736
299.713,15.75,301.592145840736
300.311,15.975,302.190145840736
300.91,16.05,302.789145840736
301.508,16.3,303.387145840736
302.106,17.25,303.985145840736
302.705,17.85,304.584145840736
303.305,18.45,305.184145840736
303.903,17.725,305.782145840736
304.501,16.975,306.380145840736
305.099,17.2,306.978145840736
305.698,16.625,307.577145840736
306.296,17.3,308.175145840736
306.894,16.325,308.773145840736
307.492,15.65,309.371145840736
308.09,16.5,309.969145840736
308.688,15.15,310.567145840736
309.285,15.375,311.164145840736
309.883,15.3,311.762145840736
310.481,14.25,312.360145840736
311.079,15.1,312.958145840736
311.677,14.275,313.556145840736
312.274,14,314.153145840736
312.872,13.6,314.751145840736
313.47,13.175,315.349145840736
314.067,14.425,315.946145840736
314.665,13.325,316.544145840736
315.262,13.975,317.141145840736
315.86,13.8,317.739145840736
316.457,13.075,318.336145840736
317.054,13.325,318.933145840736
317.652,13.5,319.531145840736
318.249,12.75,320.128145840736
318.846,13.25,320.725145840736
319.443,12.325,321.322145840736
320.041,13.025,321.920145840736
320.636,12.7,322.515145840736
321.233,11.725,323.112145840736
321.83,13.2,323.709145840736
322.427,12.6,324.306145840736
323.024,12.725,324.903145840736
323.621,13.225,325.500145840736
324.216,11.925,326.095145840736
324.813,11.7,326.692145840736
325.409,12.525,327.288145840736
