wavenumber,counts,wavenumber_adjusted
197.067,4.7,198.946145840736
197.674,4.7,199.553145840736
198.283,8.275,200.162145840736
198.893,10.9,200.772145840736
199.502,11.725,201.381145840736
200.109,13.25,201.988145840736
200.718,13.65,202.597145840736
201.327,13.675,203.206145840736
201.934,13.85,203.813145840736
202.543,13.2,204.422145840736
203.15,13.475,205.029145840736
203.759,13.05,205.638145840736
204.368,14.575,206.247145840736
204.975,14.05,206.854145840736
205.584,14.1,207.463145840736
206.19,14.275,208.069145840736
206.799,15.45,208.678145840736
207.408,14.6,209.287145840736
208.014,13.975,209.893145840736
208.623,14.85,210.502145840736
209.229,15.425,211.108145840736
209.838,14.425,211.717145840736
210.444,14.575,212.323145840736
211.053,14.9,212.932145840736
211.659,14.15,213.538145840736
212.267,14.925,214.146145840736
212.874,14.6,214.753145840736
213.482,15.4,215.361145840736
214.088,14.725,215.967145840736
214.696,14.8,216.575145840736
215.302,14.45,217.181145840736
215.911,14.8,217.790145840736
216.517,16.65,218.396145840736
217.122,14.625,219.001145840736
217.731,16.275,219.610145840736
218.336,15.95,220.215145840736
218.944,15.175,220.823145840736
219.55,15.95,221.429145840736
220.156,15.925,222.035145840736
220.764,15.975,222.643145840736
221.369,16.25,223.248145840736
221.977,16.3,223.856145840736
222.583,17.45,224.462145840736
223.188,17.45,225.067145840736
223.796,16.95,225.675145840736
224.401,18.7,226.280145840736
225.007,17.25,226.886145840736
225.614,18.25,227.493145840736
226.22,18.1,228.099145840736
226.825,19.675,228.704145840736
227.43,19.15,229.309145840736
228.038,21,229.917145840736
228.643,20.825,230.522145840736
229.248,20.65,231.127145840736
229.853,20.775,231.732145840736
230.46,20.925,232.339145840736
231.065,20.7,232.944145840736
231.671,21.225,233.550145840736
232.275,19.8,234.154145840736
232.88,19.975,234.759145840736
233.487,20.225,235.366145840736
234.092,19.9,235.971145840736
234.697,20.975,236.576145840736
235.302,20.325,237.181145840736
235.907,21.325,237.786145840736
236.511,20.25,238.390145840736
237.118,21.175,238.997145840736
237.723,21.425,239.602145840736
238.327,21.475,240.206145840736
238.932,20.975,240.811145840736
239.536,21.25,241.415145840736
240.141,20.775,242.020145840736
240.745,22.9,242.624145840736
241.35,21.05,243.229145840736
241.954,20.9,243.833145840736
242.558,20.275,244.437145840736
243.162,22.05,245.041145840736
243.767,21.525,245.646145840736
244.371,20.625,246.250145840736
244.975,22.575,246.854145840736
245.579,22.125,247.458145840736
246.183,21.75,248.062145840736
246.787,20.4,248.666145840736
247.391,22.125,249.270145840736
247.995,22.625,249.874145840736
248.599,20.75,250.478145840736
249.203,22.675,251.082145840736
249.807,22.2,251.686145840736
250.411,21.975,252.290145840736
251.014,20.575,252.893145840736
251.618,22.1,253.497145840736
252.222,21.425,254.101145840736
252.825,21.075,254.704145840736
253.429,20.7,255.308145840736
254.03,23.65,255.909145840736
254.634,23.15,256.513145840736
255.237,23.225,257.116145840736
255.841,22.95,257.720145840736
256.444,23.65,258.323145840736
257.048,22.9,258.927145840736
257.651,21.725,259.530145840736
258.252,22.175,260.131145840736
258.855,23.425,260.734145840736
259.458,21.725,261.337145840736
260.062,23,261.941145840736
260.665,22.975,262.544145840736
261.266,21.575,263.145145840736
261.869,22.25,263.748145840736
262.472,24.2,264.351145840736
263.075,22.65,264.954145840736
263.676,22.825,265.555145840736
264.278,23.85,266.157145840736
264.881,23.5,266.760145840736
265.482,22.975,267.361145840736
266.085,24.6,267.964145840736
266.688,23.7,268.567145840736
267.288,23.5,269.167145840736
267.891,23.8,269.770145840736
268.493,22.575,270.372145840736
269.094,23.675,270.973145840736
269.696,23.975,271.575145840736
270.299,23.95,272.178145840736
270.899,22.7,272.778145840736
271.502,23.3,273.381145840736
272.104,24.3,273.983145840736
272.704,25.5,274.583145840736
273.307,24.75,275.186145840736
273.907,24.825,275.786145840736
274.509,25.425,276.388145840736
275.109,25.7,276.988145840736
275.711,24.4,277.590145840736
276.313,25.1,278.192145840736
276.913,25.6,278.792145840736
277.515,24.2,279.394145840736
278.115,26.1,279.994145840736
278.717,26.625,280.596145840736
279.317,25.25,281.196145840736
279.919,26.125,281.798145840736
280.519,26.525,282.398145840736
281.12,26.25,282.999145840736
281.72,26.1,283.599145840736
282.322,26.375,284.201145840736
282.921,25.725,284.800145840736
283.521,26.975,285.400145840736
284.122,26.225,286.001145840736
284.722,25.35,286.601145840736
285.323,25.975,287.202145840736
285.923,27.1,287.802145840736
286.522,25.75,288.401145840736
287.124,26.775,289.003145840736
287.723,26.25,289.602145840736
288.324,26.175,290.203145840736
288.923,28.1,290.802145840736
289.523,28.2,291.402145840736
290.124,28.525,292.003145840736
290.723,28.4,292.602145840736
291.322,29.225,293.201145840736
291.923,28.95,293.802145840736
292.522,29.2,294.401145840736
293.121,30.15,295.000145840736
293.72,28.85,295.599145840736
294.321,28.625,296.200145840736
294.919,29.15,296.798145840736
295.518,29.325,297.397145840736
296.117,29.9,297.996145840736
296.718,29.575,298.597145840736
297.316,31.4,299.195145840736
297.915,31.325,299.794145840736
298.514,32.85,300.393145840736
299.112,32.575,300.991145840736
299.713,32.325,301.592145840736
300.311,34.4,302.190145840736
300.91,34.85,302.789145840736
301.508,36.85,303.387145840736
302.106,36.775,303.985145840736
302.705,38,304.584145840736
303.305,39.025,305.184145840736
303.903,36.875,305.782145840736
304.501,36.625,306.380145840736
305.099,36.85,306.978145840736
305.698,36.775,307.577145840736
306.296,35.425,308.175145840736
306.894,34.35,308.773145840736
307.492,33.3,309.371145840736
308.09,32.875,309.969145840736
308.688,31.3,310.567145840736
309.285,31.15,311.164145840736
309.883,31.025,311.762145840736
310.481,30.375,312.360145840736
311.079,30.775,312.958145840736
311.677,29.25,313.556145840736
312.274,28.375,314.153145840736
312.872,29.15,314.751145840736
