wavenumber,counts,wavenumber_adjusted
197.067,2.8,198.946145840736
197.674,2.35,199.553145840736
198.283,5.85,200.162145840736
198.893,7.35,200.772145840736
199.502,7.7,201.381145840736
200.109,7.6,201.988145840736
200.718,9.075,202.597145840736
201.327,8.525,203.206145840736
201.934,7.35,203.813145840736
202.543,8.25,204.422145840736
203.15,8.1,205.029145840736
203.759,7.975,205.638145840736
204.368,8.5,206.247145840736
204.975,9.225,206.854145840736
205.584,9.4,207.463145840736
206.19,9.5,208.069145840736
206.799,9.225,208.678145840736
207.408,9.175,209.287145840736
208.014,9.3,209.893145840736
208.623,9.125,210.502145840736
209.229,8.725,211.108145840736
209.838,8.425,211.717145840736
210.444,9.375,212.323145840736
211.053,9.175,212.932145840736
211.659,9.325,213.538145840736
212.267,9.45,214.146145840736
212.874,9.125,214.753145840736
213.482,8.775,215.361145840736
214.088,9.4,215.967145840736
214.696,9.55,216.575145840736
215.302,9.6,217.181145840736
215.911,9.175,217.790145840736
216.517,9.55,218.396145840736
217.122,9.825,219.001145840736
217.731,10.15,219.610145840736
218.336,9.975,220.215145840736
218.944,10.2,220.823145840736
219.55,10.8,221.429145840736
220.156,10.225,222.035145840736
220.764,10.25,222.643145840736
221.369,9.1,223.248145840736
221.977,9.875,223.856145840736
222.583,11.425,224.462145840736
223.188,10.825,225.067145840736
223.796,10.6,225.675145840736
224.401,11.325,226.280145840736
225.007,10.975,226.886145840736
225.614,11.05,227.493145840736
226.22,12.2,228.099145840736
226.825,12.425,228.704145840736
227.43,13.275,229.309145840736
228.038,13.675,229.917145840736
228.643,12.5,230.522145840736
229.248,13.65,231.127145840736
229.853,14.35,231.732145840736
230.46,13.375,232.339145840736
231.065,13.75,232.944145840736
231.671,13.35,233.550145840736
232.275,12.675,234.154145840736
232.88,12.75,234.759145840736
233.487,12.9,235.366145840736
234.092,14.575,235.971145840736
234.697,14.075,236.576145840736
235.302,14.15,237.181145840736
235.907,14.475,237.786145840736
236.511,14.05,238.390145840736
237.118,13.7,238.997145840736
237.723,14.225,239.602145840736
238.327,14.55,240.206145840736
238.932,14.1,240.811145840736
239.536,13.275,241.415145840736
240.141,13.9,242.020145840736
240.745,14.3,242.624145840736
241.35,14.35,243.229145840736
241.954,13.625,243.833145840736
242.558,13.45,244.437145840736
243.162,14.625,245.041145840736
243.767,14.25,245.646145840736
244.371,13.675,246.250145840736
244.975,14.375,246.854145840736
245.579,14.275,247.458145840736
246.183,13.45,248.062145840736
246.787,14.275,248.666145840736
