wavenumber	counts
197.067	1.23
197.674	1.405
198.283	1.67
198.893	1.8925
199.502	2.005
200.109	2.18
200.718	2.095
201.327	2.355
201.934	2.2025
202.543	2.3225
203.15	2.06
203.759	2.36
204.368	2.335
204.975	2.295
205.584	2.4075
206.19	2.365
206.799	2.285
207.408	2.345
208.014	2.3825
208.623	2.2975
209.229	2.37
209.838	2.3025
210.444	2.2575
211.053	2.305
211.659	2.3825
212.267	2.36
212.874	2.265
213.482	2.365
214.088	2.21
214.696	2.295
215.302	2.335
215.911	2.34
216.517	2.285
217.122	2.28
217.731	2.3975
218.336	2.3
218.944	2.515
219.55	2.425
220.156	2.355
220.764	2.37
221.369	2.4225
221.977	2.4975
222.583	2.4025
223.188	2.3675
223.796	2.365
224.401	2.42
225.007	2.26
225.614	2.37
226.22	2.41
226.825	2.405
227.43	2.445
228.038	2.5
228.643	2.47
229.248	2.4775
229.853	2.5
230.46	2.485
231.065	2.43
231.671	2.585
232.275	2.4775
232.88	2.475
233.487	2.6675
234.092	2.5475
234.697	2.4675
235.302	2.66
235.907	2.63
236.511	2.7275
237.118	2.6275
237.723	2.715
238.327	2.625
238.932	2.705
239.536	2.655
240.141	2.64
240.745	2.7725
241.35	2.6625
241.954	2.625
242.558	2.7025
243.162	2.67
243.767	2.6725
244.371	2.755
244.975	2.84
245.579	2.78
246.183	2.7675
246.787	2.665
247.391	2.74
247.995	2.785
248.599	2.715
249.203	2.685
249.807	2.57
250.411	2.685
251.014	2.7275
251.618	2.715
252.222	2.685
252.825	2.7425
253.429	2.745
254.03	2.635
254.634	2.74
255.237	2.6475
255.841	2.705
256.444	2.645
257.048	2.6825
257.651	2.63
258.252	2.7
258.855	2.6575
259.458	2.5825
260.062	2.7825
260.665	2.58
261.266	2.7375
261.869	2.685
262.472	2.655
263.075	2.6575
263.676	2.64
264.278	2.6725
264.881	2.66
265.482	2.675
266.085	2.63
266.688	2.645
267.288	2.735
267.891	2.8375
268.493	2.6025
269.094	2.67
269.696	2.78
270.299	2.7475
270.899	2.7125
271.502	2.6675
272.104	2.7525
272.704	2.675
273.307	2.73
273.907	2.635
274.509	2.585
275.109	2.63
275.711	2.805
276.313	2.7575
276.913	2.8475
277.515	2.7375
278.115	2.565
278.717	2.7675
279.317	2.695
279.919	2.825
280.519	2.7125
281.12	2.735
281.72	2.6725
282.322	2.7325
282.921	2.75
283.521	2.73
284.122	2.7225
284.722	2.665
285.323	2.7025
285.923	2.755
286.522	2.85
287.124	2.7875
287.723	2.6925
288.324	2.77
288.923	2.6975
289.523	2.7575
290.124	2.73
290.723	2.7375
291.322	2.81
291.923	2.845
292.522	2.7725
293.121	2.66
293.72	2.88
294.321	2.7675
294.919	2.73
295.518	2.7575
296.117	2.83
296.718	2.8625
297.316	2.745
297.915	2.7525
298.514	2.785
299.112	2.865
299.713	2.845
300.311	2.79
300.91	2.71
301.508	2.8375
302.106	2.72
302.705	2.745
303.305	2.8525
303.903	2.6625
304.501	2.805
305.099	2.715
305.698	2.7325
306.296	2.6625
306.894	2.8325
307.492	2.795
308.09	2.7725
308.688	2.785
309.285	2.78
309.883	2.685
310.481	2.71
311.079	2.6975
311.677	2.74
312.274	2.82
312.872	2.6875
313.47	2.74
314.067	2.83
314.665	2.62
315.262	2.685
315.86	2.72
316.457	2.82
317.054	2.675
317.652	2.7725
318.249	2.6425
318.846	2.7175
319.443	2.76
320.041	2.715
320.636	2.7175
321.233	2.73
321.83	2.6725
322.427	2.725
323.024	2.735
323.621	2.6875
324.216	2.665
324.813	2.7
325.409	2.5475
326.006	2.625
326.603	2.565
327.198	2.6175
327.794	2.5975
328.391	2.5825
328.987	2.65
329.582	2.575
330.178	2.645
330.775	2.4775
331.369	2.67
331.966	2.6775
332.562	2.585
333.158	2.5
333.753	2.6975
334.349	2.6
334.945	2.515
335.539	2.615
336.135	2.6
336.729	2.67
337.325	2.6625
337.921	2.57
338.515	2.605
339.111	2.6325
339.705	2.7125
340.301	2.595
340.895	2.51
341.491	2.6125
342.086	2.62
342.68	2.63
343.276	2.61
343.869	2.575
344.465	2.62
345.058	2.635
345.654	2.6375
346.247	2.645
346.841	2.6825
347.436	2.6925
348.029	2.55
348.625	2.535
349.218	2.68
349.813	2.56
350.406	2.6625
350.999	2.6625
351.595	2.54
352.188	2.49
352.783	2.595
353.376	2.555
353.969	2.605
354.563	2.5875
355.156	2.5875
355.749	2.585
356.344	2.61
356.937	2.6825
357.529	2.51
358.124	2.7525
358.717	2.5525
359.309	2.435
359.902	2.49
360.496	2.555
361.089	2.4875
361.681	2.7125
362.274	2.6275
362.866	2.5
363.46	2.6425
364.053	2.7175
364.645	2.545
365.237	2.52
365.829	2.45
366.423	2.5075
367.015	2.615
367.607	2.585
368.199	2.465
368.791	2.535
369.383	2.4925
369.975	2.52
370.567	2.6075
371.159	2.5225
371.753	2.49
372.344	2.515
372.936	2.5575
373.528	2.505
374.119	2.5275
374.711	2.6475
375.303	2.455
375.894	2.55
376.486	2.52
377.077	2.5275
377.668	2.325
378.26	2.575
378.851	2.5975
379.442	2.545
380.034	2.4375
380.623	2.5175
381.214	2.495
381.805	2.45
382.396	2.44
382.987	2.445
383.578	2.415
384.169	2.365
384.76	2.56
385.351	2.5
385.94	2.5775
386.53	2.4775
387.121	2.4075
387.712	2.42
388.303	2.4575
388.893	2.34
389.482	2.485
390.073	2.4125
390.663	2.415
391.254	2.485
391.842	2.52
392.432	2.365
393.023	2.39
393.613	2.43
394.202	2.4525
394.792	2.505
395.382	2.37
395.97	2.4175
396.56	2.445
397.151	2.325
397.739	2.4975
398.329	2.4
398.919	2.34
399.507	2.445
400.097	2.3425
400.686	2.4575
401.274	2.32
401.864	2.3675
402.452	2.3575
403.042	2.4275
403.631	2.3425
404.219	2.37
404.809	2.385
405.396	2.36
405.986	2.2825
406.573	2.375
407.163	2.24
407.75	2.315
408.34	2.3925
408.927	2.4175
409.516	2.3175
410.103	2.3075
410.693	2.345
411.28	2.27
411.867	2.29
412.456	2.29
413.043	2.285
413.632	2.405
414.219	2.26
414.808	2.3525
415.395	2.39
