wavenumber	counts
103.188	26.105
103.582	29.49
103.978	34.875
104.372	40.325
104.767	43.825
105.161	48.37
105.555	52.77
105.951	56.97
106.345	62.05
106.739	64.285
107.134	65.855
107.528	65.475
107.922	65.55
108.318	65.16
108.711	66.235
109.105	64.465
109.501	63.675
109.894	63.99
110.288	63.35
110.682	63.39
111.076	62.95
111.471	62.885
111.865	62.925
112.258	63.14
112.652	63.59
113.046	62.755
113.441	63.03
113.835	63.155
114.228	63.27
114.622	63.83
115.015	63.58
115.409	63.35
115.802	62.805
116.197	62.785
116.591	62.235
116.984	62.535
117.378	62.12
117.771	61.735
118.165	61.005
118.558	61.185
118.951	61.52
119.345	60.14
119.738	60.78
120.131	61.215
120.525	61.145
120.918	61.125
121.311	61.405
121.704	61.63
122.098	60.925
122.491	61.01
122.884	60.965
123.277	62.305
123.67	60.79
124.062	61.785
124.455	61.08
124.848	60.645
125.241	61.15
125.634	60
126.027	60.925
126.42	60.625
126.812	59.595
127.204	59.515
127.597	58.975
127.99	59.145
128.383	59.735
128.775	59.77
129.167	59.96
129.56	59.63
129.953	60.055
130.344	60.355
130.737	60.765
131.13	61.03
131.521	60.05
131.914	60.7
132.307	59.625
132.699	60.005
133.09	60.385
133.483	59.95
133.874	59.95
134.267	60.145
134.659	58.755
135.05	59.625
135.443	59.095
135.835	59.885
136.226	58.005
136.619	59.755
137.01	58.935
137.402	59.33
137.793	59.31
138.186	59.205
138.577	59.36
138.969	59.22
139.36	60.43
139.752	60.965
140.143	60.085
140.535	60.495
140.926	60.39
141.318	59.63
141.709	60.065
142.101	60.19
142.492	60.175
142.882	58.97
143.275	58.84
143.665	60.455
144.057	60.36
144.448	60.12
144.839	60.155
145.231	60.77
145.621	61.29
146.012	61.5
146.404	62.465
146.794	62.155
147.185	62.49
147.575	63.305
147.967	62.21
148.357	62.625
148.748	61.82
149.138	61.735
149.53	62.395
149.92	61.87
150.31	62.85
150.701	63.135
151.091	61.695
151.483	62.915
151.873	61.81
152.263	61.95
152.653	62.99
153.044	61.41
153.434	62.44
153.825	62.265
154.215	63.265
154.605	63.825
154.996	63.535
155.386	64.04
155.776	63.36
156.166	63.685
156.556	63.57
156.946	63.545
157.336	63.3
157.725	64.335
158.115	64.56
158.505	64.29
158.895	64.49
159.285	63.93
159.675	63.73
160.065	64.235
160.454	64.435
160.844	63.39
161.234	64.19
161.624	64.375
162.013	64.84
162.402	65.185
162.791	63.87
163.181	65.04
163.571	65.33
163.96	66.125
164.35	66.325
164.739	66.54
165.127	66.5
165.517	65.59
165.906	67.165
166.296	67.195
