x y
203.206146 0.000000
203.813146 -0.124662
204.422146 -0.024324
205.029146 0.826014
205.638146 0.151353
206.247146 0.126692
206.854146 0.777029
207.463146 0.177368
208.069146 0.027705
208.678146 0.578044
209.287146 0.403383
209.893146 0.603720
210.502146 0.604059
211.108146 -0.120604
211.717146 0.579735
212.323146 0.080072
212.932146 1.030411
213.538146 0.505748
214.146146 0.856086
214.753146 0.956424
215.361146 0.431762
215.967146 1.457099
216.575146 0.607437
217.181146 0.732774
217.790146 0.683113
218.396146 1.008450
219.001146 1.033787
219.610146 0.534126
220.215146 0.859462
220.823146 0.809800
221.429146 1.235138
222.035146 0.935475
222.643146 1.410813
223.248146 1.786150
223.856146 2.061488
224.462146 1.736825
225.067146 1.537161
225.675146 2.137500
226.280146 2.237836
226.886146 2.188173
227.493146 1.863511
228.099146 2.088848
228.704146 2.789185
229.309146 3.089521
229.917146 2.439860
230.522146 3.290196
231.127146 3.290533
231.732146 3.290869
232.339146 3.316207
232.944146 3.516544
233.550146 3.466881
234.154146 3.517217
234.759146 3.692553
235.366146 4.467891
235.971146 3.693227
236.576146 4.518564
237.181146 3.968901
237.786146 3.844237
238.390146 3.794573
238.997146 2.744911
239.602146 4.070247
240.206146 3.470583
240.811146 4.045920
241.415146 4.146256
242.020146 3.671593
242.624146 3.796929
243.229146 4.197265
243.833146 4.297601
244.437146 3.847937
245.041146 4.198273
245.646146 4.173610
246.250146 4.373946
246.854146 3.774282
247.458146 3.899618
248.062146 3.524954
248.666146 4.200290
249.270146 3.575626
249.874146 4.425962
250.478146 4.551298
251.082146 3.451634
251.686146 4.901970
252.290146 4.227306
252.893146 4.102641
253.497146 4.277977
254.101146 3.553313
254.704146 4.103649
255.308146 5.153985
255.909146 4.354319
256.513146 3.779655
257.116146 4.454991
257.720146 4.630327
258.323146 4.630662
258.927146 3.955998
259.530146 4.531334
260.131146 4.906668
260.734146 4.307003
261.337146 4.632339
261.941146 3.857675
262.544146 4.758010
263.145146 4.983345
263.748146 4.908680
264.351146 4.284015
264.954146 4.309351
265.555146 4.684685
266.157146 3.735020
266.760146 4.735356
267.361146 4.435690
267.964146 5.161025
268.567146 4.461361
269.167146 4.861695
269.770146 5.387030
270.372146 5.487365
270.973146 5.287699
271.575146 5.988034
272.178146 4.388370
272.778146 4.738704
273.381146 4.664039
273.983146 5.714374
274.583146 5.314708
275.186146 5.565043
275.786146 6.040377
276.388146 5.965712
276.988146 5.291046
277.590146 4.416380
278.192146 5.891715
278.792146 5.967049
279.394146 5.042384
279.994146 5.592718
280.596146 5.918053
281.196146 6.143387
281.798146 5.143721
282.398146 4.919055
282.999146 6.069390
283.599146 6.894723
284.201146 4.970058
284.800146 5.870391
285.400146 5.570725
286.001146 6.071060
286.601146 5.996393
287.202146 6.396728
287.802146 6.447061
288.401146 6.597395
289.003146 6.247730
289.602146 7.323063
290.203146 6.648397
290.802146 7.523730
291.402146 6.374064
292.003146 6.974399
292.602146 6.749732
293.201146 6.875065
293.802146 7.775399
294.401146 6.975733
295.000146 7.201066
295.599146 7.601399
296.200146 7.676733
296.798146 6.777066
297.397146 8.302399
297.996146 6.977733
298.597146 8.528067
299.195146 8.128400
299.794146 8.278733
300.393146 8.879066
300.991146 9.479399
301.592146 9.279733
302.190146 9.505066
302.789146 9.580399
303.387146 9.830732
303.985146 10.781064
304.584146 11.381397
305.184146 11.981731
305.782146 11.257064
306.380146 10.507397
306.978146 10.732729
307.577146 10.158062
308.175146 10.833395
308.773146 9.858728
309.371146 9.184061
309.969146 10.034393
310.567146 8.684726
311.164146 8.910058
311.762146 8.835391
312.360146 7.785723
312.958146 8.636056
313.556146 7.811389
314.153146 7.536721
314.751146 7.137053
315.349146 6.712386
315.946146 7.962718
316.544146 6.863051
317.141146 7.513383
317.739146 7.338716
318.336146 6.614048
318.933146 6.864380
319.531146 7.039713
320.128146 6.290045
320.725146 6.790377
321.322146 5.865709
321.920146 6.566042
322.515146 6.241373
323.112146 5.266705
323.709146 6.742037
324.306146 6.142369
324.903146 6.267701
325.500146 6.768033
326.095146 5.468364
326.692146 5.243696
327.288146 6.069028
327.885146 5.394360
328.482146 5.394692
329.077146 5.420023
329.673146 5.045355
330.270146 6.145687
330.866146 5.271018
331.461146 5.021349
332.057146 4.621681
332.654146 5.772013
333.248146 5.347343
333.845146 4.897676
334.441146 4.748007
335.037146 4.098339
335.632146 5.798670
336.228146 4.849001
336.824146 4.149333
337.418146 4.249663
338.014146 5.324995
338.608146 4.500325
339.204146 4.550657
339.800146 3.900988
340.394146 4.351319
340.990146 4.001650
341.584146 4.476981
342.180146 4.752312
342.774146 4.052643
343.370146 4.902974
343.965146 3.953305
344.559146 4.103636
345.155146 4.453967
345.748146 5.154297
346.344146 4.279629
346.937146 4.854959
347.533146 4.805290
348.126146 4.130620
348.720146 3.955951
349.315146 4.281282
349.908146 3.506612
350.504146 4.356943
351.097146 3.657273
351.692146 4.082604
352.285146 4.482934
352.878146 3.608264
353.474146 3.708595
354.067146 4.008925
354.662146 4.784256
355.255146 3.759586
355.848146 3.734916
356.442146 4.660247
357.035146 3.710576
357.628146 3.985906
358.223146 3.636237
358.816146 4.086567
359.408146 4.886897
360.003146 4.912228
360.596146 3.462557
361.188146 3.712887
361.781146 4.538217
362.375146 4.463547
362.968146 4.563877
363.560146 4.039206
364.153146 4.414536
364.745146 3.964866
365.339146 4.440196
365.932146 2.665526
366.524146 3.690855
367.116146 3.816185
367.708146 3.391514
368.302146 2.466844
368.894146 3.592174
369.486146 2.617503
370.078146 3.567832
370.670146 3.868162
371.262146 3.618491
371.854146 3.143820
372.446146 3.744150
373.038146 3.544479
373.632146 3.244809
374.223146 3.845138
374.815146 2.820468
375.407146 3.345797
375.998146 3.221126
376.590146 2.896455
377.182146 3.546784
377.773146 3.847113
378.365146 3.572442
378.956146 3.622771
379.547146 2.973100
380.139146 2.773429
380.730146 3.348758
381.321146 3.074087
381.913146 3.374416
382.502146 1.824744
383.093146 3.000073
383.684146 2.975401
384.275146 2.825730
384.866146 2.626059
385.457146 3.576388
386.048146 2.976717
386.639146 2.602045
387.230146 2.927374
387.819146 3.277702
388.409146 2.678030
389.000146 3.078359
389.591146 1.628688
390.182146 2.429016
390.772146 3.004345
391.361146 2.079672
391.952146 3.230001
392.542146 2.930329
393.133146 2.380658
393.721146 2.630985
394.311146 3.131313
394.902146 3.556642
395.492146 2.981970
396.081146 2.732298
396.671146 2.682626
397.261146 2.757954
397.849146 3.808282
398.439146 3.183610
