x y
203.206146 0.420461
203.813146 -0.753028
204.422146 0.148489
205.029146 0.000000
205.638146 -0.123484
206.247146 0.403033
206.854146 1.129544
207.463146 1.306060
208.069146 1.407569
208.678146 1.134085
209.287146 1.085601
209.893146 1.212110
210.502146 1.038626
211.108146 0.640135
211.717146 0.341652
212.323146 1.293160
212.932146 1.094677
213.538146 1.246185
214.146146 1.372699
214.753146 1.049210
215.361146 0.700724
215.967146 1.327233
216.575146 1.478747
217.181146 1.530256
217.790146 1.106772
218.396146 1.483281
219.001146 1.759787
219.610146 2.086303
220.215146 1.912810
220.823146 2.139323
221.429146 2.740832
222.035146 2.167341
222.643146 2.193855
223.248146 1.045361
223.856146 1.821875
224.462146 3.373384
225.067146 2.774890
225.675146 2.551404
226.280146 3.277910
226.886146 2.929419
227.493146 3.005930
228.099146 4.157439
228.704146 4.383945
229.309146 5.235451
229.917146 5.636965
230.522146 4.463472
231.127146 5.614978
231.732146 6.316484
232.339146 5.342995
232.944146 5.719502
233.550146 5.321010
234.154146 4.647514
234.759146 4.724021
235.366146 4.875532
235.971146 6.552038
236.576146 6.053545
237.181146 6.130051
237.786146 6.456557
238.390146 6.033061
238.997146 5.684572
239.602146 6.211079
240.206146 6.537582
240.811146 6.089089
241.415146 5.265592
242.020146 5.892099
242.624146 6.293603
243.229146 6.345109
243.833146 5.621613
244.437146 5.448117
245.041146 6.624620
245.646146 6.251127
246.250146 5.677630
246.854146 6.379134
247.458146 6.280638
248.062146 5.457142
248.666146 6.283646
249.270146 6.635150
249.874146 7.086653
250.478146 6.088157
251.082146 6.764661
251.686146 6.566165
252.290146 6.492669
252.893146 6.144170
253.497146 6.270674
254.101146 5.472178
254.704146 6.473679
255.308146 7.175183
255.909146 6.726679
256.513146 6.028183
257.116146 7.254684
257.720146 6.781188
258.323146 6.907689
258.927146 6.859193
259.530146 6.585695
260.131146 6.687191
260.734146 6.788692
261.337146 7.990194
261.941146 6.841697
262.544146 6.243199
263.145146 6.694695
263.748146 6.596196
264.351146 6.722698
264.954146 7.349199
265.555146 6.400695
266.157146 7.202194
266.760146 6.903695
267.361146 6.780192
267.964146 7.856693
268.567146 7.858194
269.167146 8.159688
269.770146 6.986190
270.372146 7.262689
270.973146 7.664185
271.575146 7.515684
272.178146 7.367185
272.778146 7.718679
273.381146 8.195180
273.983146 7.946679
274.583146 9.498173
275.186146 7.424674
275.786146 7.026168
276.388146 8.177667
276.988146 7.379161
277.590146 7.230660
278.192146 7.732158
278.792146 8.733652
279.394146 8.360151
279.994146 7.986645
280.596146 9.863144
281.196146 9.739638
281.798146 8.916137
282.398146 8.117630
282.999146 7.644127
283.599146 7.745621
284.201146 8.697119
284.800146 8.098611
285.400146 9.800105
286.001146 9.251601
286.601146 8.778095
287.202146 9.979591
287.802146 9.256085
288.401146 9.082576
289.003146 9.709075
289.602146 9.535567
290.203146 9.137063
290.802146 9.838554
291.402146 9.740048
292.003146 9.616545
292.602146 10.368036
293.201146 10.219527
293.802146 11.446024
294.401146 9.372515
295.000146 10.174006
295.599146 11.200498
296.200146 11.801994
296.798146 10.103483
297.397146 12.779974
297.996146 11.531466
298.597146 12.607962
299.195146 12.209451
299.794146 14.060942
300.393146 11.787434
300.991146 14.113923
301.592146 14.090419
302.190146 14.691908
302.789146 13.993399
303.387146 15.344888
303.985146 15.121377
304.584146 16.047868
305.184146 17.474362
305.782146 16.000851
306.380146 17.352340
306.978146 15.053829
307.577146 16.755320
308.175146 15.756809
308.773146 14.208298
309.371146 13.409787
309.969146 13.111276
310.567146 12.312764
311.164146 11.314251
311.762146 13.215740
312.360146 12.142229
312.958146 11.118718
313.556146 11.420206
314.153146 10.446693
314.751146 10.548182
315.349146 10.074671
315.946146 11.101157
316.544146 9.577646
317.141146 8.229132
317.739146 10.330621
318.336146 10.107107
318.933146 9.833594
319.531146 7.885083
320.128146 9.636569
320.725146 8.588055
321.322146 8.764542
321.920146 8.916031
322.515146 8.717512
323.112146 10.268999
323.709146 8.095485
324.306146 8.871971
324.903146 8.473458
325.500146 8.474944
326.095146 7.376426
326.692146 6.977912
327.288146 8.254396
327.885146 7.405882
328.482146 8.382369
329.077146 8.783850
329.673146 4.810334
330.270146 7.961820
330.866146 7.063304
331.461146 6.514786
332.057146 6.966269
332.654146 7.667756
333.248146 7.519235
333.845146 7.820721
334.441146 6.522205
335.037146 7.273689
335.632146 7.700170
336.228146 7.676654
336.824146 7.803138
337.418146 5.879617
338.014146 6.131101
338.608146 6.407580
339.204146 6.534064
339.800146 6.685548
340.394146 7.087027
340.990146 6.838511
341.584146 5.814989
342.180146 6.991473
342.774146 6.642952
343.370146 7.119436
343.965146 6.495918
344.559146 5.547396
345.155146 6.248880
345.748146 6.200357
346.344146 6.001841
346.937146 5.778317
347.533146 6.454801
348.126146 6.206277
348.720146 6.357756
349.315146 4.859238
349.908146 6.360714
350.504146 6.812198
351.097146 5.888675
351.692146 5.815156
352.285146 5.116632
352.878146 5.518109
353.474146 4.619593
354.067146 6.021069
354.662146 6.072551
355.255146 5.449027
355.848146 5.825503
356.442146 5.801982
357.035146 5.228459
357.628146 5.854935
358.223146 5.056417
358.816146 5.732893
359.408146 5.009367
360.003146 5.960848
360.596146 5.337325
361.188146 5.538799
361.781146 4.890275
362.375146 5.841754
362.968146 5.293231
363.560146 4.594704
364.153146 5.546181
364.745146 5.272655
365.339146 4.974134
365.932146 6.025610
366.524146 5.102084
367.116146 5.003558
367.708146 4.505032
368.302146 5.206511
368.894146 5.157985
369.486146 4.409459
370.078146 4.410933
370.670146 4.637407
371.262146 5.288881
371.854146 4.265355
372.446146 4.391828
373.038146 4.718302
373.632146 3.769781
374.223146 5.221253
374.815146 4.997727
375.407146 5.949201
375.998146 5.150672
376.590146 5.402146
377.182146 4.178620
377.773146 5.105091
378.365146 4.531565
378.956146 4.583037
379.547146 4.134508
380.139146 3.535982
380.730146 3.812454
381.321146 5.713925
381.913146 4.640399
382.502146 4.791866
383.093146 3.268337
383.684146 5.319808
384.275146 4.396280
384.866146 4.472751
385.457146 4.499223
386.048146 3.750694
386.639146 3.527166
387.230146 3.803637
387.819146 3.905104
388.409146 3.156573
389.000146 4.408044
389.591146 3.734515
390.182146 3.660987
390.772146 4.512456
391.361146 4.238922
391.952146 3.890394
392.542146 4.041863
393.133146 3.618334
393.721146 3.794798
394.311146 4.196267
394.902146 3.472739
395.492146 4.224208
396.081146 3.675674
396.671146 3.777143
397.261146 3.928612
397.849146 3.305076
398.439146 4.156545
399.030146 3.083016
399.618146 2.434480
400.208146 3.285949
400.798146 4.087418
401.386146 2.763882
401.976146 3.815351
402.565146 3.541818
403.153146 3.543282
403.743146 2.894751
404.331146 4.196215
404.921146 2.872683
405.510146 3.399150
406.098146 3.950614
406.688146 3.202083
407.275146 3.578544
407.865146 3.605013
408.452146 3.706475
409.042146 3.857944
409.629146 3.809405
410.219146 4.310874
410.806146 3.587336
411.395146 3.463802
411.982146 3.565264
412.572146 2.891733
413.159146 3.493194
413.746146 3.619656
414.335146 3.971122
414.922146 3.072584
415.511146 3.299050
416.098146 4.025512
416.687146 2.876978
417.274146 3.778440
417.861146 2.729901
418.450146 3.456367
419.037146 3.107829
419.624146 4.184290
420.212146 3.985754
420.799146 3.537216
421.386146 3.288677
421.974146 3.340141
422.561146 3.541603
423.147146 3.468062
423.734146 3.694523
424.322146 3.920987
424.909146 3.722449
425.495146 3.348908
426.082146 2.675369
426.670146 3.076833
427.256146 3.278292
427.842146 2.654751
428.429146 3.731213
429.015146 4.257672
429.603146 3.534136
430.189146 3.485595
430.775146 3.237054
431.361146 3.788513
431.947146 4.439972
432.533146 4.116431
433.121146 3.442895
433.707146 4.044354
434.293146 4.045813
434.878146 3.822269
435.464146 3.923728
436.050146 4.225187
436.636146 3.576646
437.221146 4.128103
437.807146 3.354562
438.392146 3.881018
438.978146 3.382477
439.563146 4.658934
440.149146 4.235393
440.734146 3.311849
441.320146 2.388308
441.905146 3.539765
442.490146 2.691221
443.076146 3.217680
443.661146 3.494137
444.246146 2.895593
444.831146 2.147050
445.416146 1.948506
446.001146 3.349963
446.586146 2.726419
447.171146 1.752876
447.756146 1.579332
448.339146 1.905784
448.924146 1.832240
449.509146 1.158697
450.094146 2.210154
450.678146 2.311608
451.263146 1.738064
451.848146 0.889521
452.431146 1.790972
453.015146 2.042426
453.600146 1.118883
454.184146 1.420337
454.769146 0.621793
455.351146 1.048242
455.936146 0.899699
456.520146 0.976153
457.102146 1.327602
457.687146 0.429058
458.271146 0.530512
458.855146 0.206966
459.437146 -0.766585
460.022146 -0.815128
460.606146 -0.638674
461.188146 -0.112225
461.772146 0.289229
462.356146 0.040683
462.938146 0.142132
463.522146 0.293586
464.106146 -0.604960
464.688146 0.171489
465.271146 0.422941
465.853146 0.824390
466.437146 0.300844
467.021146 0.102298
467.602146 0.478744
468.186146 0.005198
468.768146 0.206647
469.351146 1.108099
469.933146 1.159548
470.516146 0.785999
471.098146 0.887448
471.681146 0.788900
472.262146 1.515347
472.846146 0.766801
473.427146 0.643247
474.010146 0.794699
474.592146 0.921148
475.175146 1.422599
475.756146 0.799046
476.337146 1.800492
476.920146 2.201944
477.501146 1.228390
478.084146 0.904842
478.665146 1.706288
479.246146 1.382735
479.829146 1.034187
480.410146 1.785633
480.991146 1.637080
481.573146 1.563529
482.154146 1.539975
482.735146 1.391422
483.317146 2.367871
483.898146 2.194317
484.479146 2.220764
485.061146 2.097213
485.642146 2.548660
486.222146 1.450104
486.803146 1.901550
487.385146 1.777999
487.965146 2.979443
488.546146 2.180890
489.126146 2.257334
489.706146 2.883778
490.289146 2.885229
490.869146 4.061674
491.449146 3.588118
492.029146 3.364562
492.609146 3.991006
493.189146 4.267450
493.771146 2.468899
494.351146 3.520343
494.931146 3.321787
495.511146 3.548231
496.091146 4.349675
496.670146 4.651117
497.250146 4.427561
497.830146 5.279005
498.410146 5.355449
498.989146 4.631890
499.569146 6.058334
500.149146 6.534779
500.728146 6.436220
501.308146 5.962664
501.887146 6.064106
502.466146 7.690547
503.046146 6.141991
503.625146 7.943433
504.205146 8.994877
504.784146 10.021319
505.363146 10.347760
505.942146 10.299202
506.522146 11.850646
507.101146 12.852087
507.680146 13.353529
508.259146 15.154971
508.838146 15.581412
509.417146 17.707854
509.994146 18.909290
510.573146 21.610732
511.152146 24.087173
511.730146 27.413612
512.309146 29.065054
512.888146 34.016496
513.465146 37.742932
514.043146 43.569371
514.622146 48.495813
515.201146 56.122254
515.779146 65.173694
516.356146 76.425130
516.934146 89.176569
517.513146 110.928011
518.091146 138.229450
518.668146 171.080886
519.246146 224.282326
519.824146 298.558765
520.401146 414.035201
520.979146 594.486640
521.557146 847.963079
522.133146 1234.489513
522.711146 1570.760953
523.290146 1668.912394
523.866146 1448.593828
524.444146 1068.225267
525.022146 735.296706
525.598146 501.873140
526.176146 351.374580
526.751146 253.626011
527.329146 190.077450
527.905146 148.078884
528.483146 118.455323
529.061146 97.656763
529.636146 81.158194
530.214146 68.334633
530.790146 60.236067
531.367146 50.437504
531.943146 45.488938
532.520146 39.790375
533.096146 36.566809
533.673146 32.393245
534.249146 27.644679
534.824146 25.946111
535.401146 24.072548
535.977146 22.673982
536.554146 21.200418
537.129146 18.926850
537.706146 16.053287
538.281146 15.729718
538.856146 14.481150
539.434146 13.682589
540.009146 13.809020
540.584146 12.410452
541.161146 10.986889
541.736146 11.613320
542.310146 10.464749
542.887146 9.766186
543.462146 8.892618
544.037146 8.244049
544.614146 6.945486
545.188146 7.946915
545.763146 7.873347
546.338146 6.999778
546.914146 6.551212
547.489146 6.252644
548.063146 5.879073
548.638146 6.255505
549.214146 4.631939
549.789146 5.058370
550.363146 5.084799
550.937146 3.811229
551.512146 4.087660
552.086146 3.639089
552.662146 2.990523
553.236146 3.941953
553.811146 3.518384
554.385146 3.469813
554.959146 2.971242
555.533146 2.222672
556.107146 2.124101
556.681146 3.025530
557.255146 1.551959
557.829146 1.928388
558.403146 2.204817
558.978146 1.331249
559.552146 2.007678
560.126146 1.484107
560.700146 0.960536
561.273146 1.236963
561.847146 1.363392
562.421146 1.289821
562.994146 1.741248
563.566146 0.842672
564.139146 -0.105902
564.713146 0.295528
565.286146 -0.053046
565.860146 0.998383
566.433146 0.849810
567.006146 1.326237
567.580146 0.602666
568.153146 0.204092
568.726146 0.755519
569.299146 0.606946
569.870146 0.258367
570.443146 0.684794
571.017146 0.336223
571.590146 -0.062350
572.163146 0.064076
572.736146 -0.034497
573.306146 0.166922
573.879146 -0.256651
574.452146 -0.230225
575.025146 0.071202
575.596146 -0.852376
576.169146 -0.875950
576.741146 -0.999526
577.314146 -0.423099
577.885146 -0.496677
578.457146 -0.495253
579.030146 -0.618827
579.600146 -0.292407
580.173146 -0.690981
580.745146 -0.439557
581.316146 -1.188135
581.888146 -1.586711
582.460146 -0.960287
583.031146 -0.358865
583.603146 -0.807441
584.175146 -0.156017
584.745146 -0.779598
585.318146 -0.678171
585.888146 -0.876752
586.460146 -0.725328
587.030146 -0.773908
587.602146 -0.597484
588.174146 -0.721060
588.744146 -0.294641
589.316146 -0.518217
589.886146 -1.491798
590.457146 -0.990376
591.027146 -0.538957
591.599146 -0.537533
592.169146 -0.536114
592.740146 -0.359692
593.310146 -0.733273
593.880146 0.068146
594.451146 -1.205432
595.021146 -0.654013
595.592146 -0.577591
596.162146 -0.326172
596.731146 0.125245
597.303146 -0.523331
597.872146 -0.471914
598.443146 -0.020493
599.013146 -0.419074
599.582146 -0.717657
600.153146 0.258765
600.722146 -0.464819
601.292146 -0.188399
601.863146 0.188022
602.432146 -0.510561
603.001146 0.515856
603.570146 0.117272
604.141146 -0.406306
604.710146 0.045111
605.279146 0.446527
605.848146 0.947944
606.418146 0.774363
606.987146 0.425780
607.556146 -0.072804
608.125146 1.203613
608.693146 0.455027
609.264146 0.831449
609.833146 0.682866
610.401146 0.384280
610.970146 0.610696
611.538146 0.762111
612.107146 0.488527
612.675146 1.339941
613.246146 0.441363
613.814146 2.017777
614.382146 1.169192
614.951146 0.870608
615.519146 1.397022
616.087146 1.548437
616.655146 1.474851
617.224146 2.376267
617.792146 2.227682
618.360146 1.854096
618.928146 2.880510
619.496146 1.581924
620.064146 2.358338
620.632146 1.684753
621.200146 1.686167
621.767146 2.087578
622.335146 2.588993
622.903146 1.440407
623.471146 1.866821
624.039146 2.068235
624.606146 2.169647
625.174146 1.946061
625.740146 2.097470
626.307146 2.398882
626.875146 2.250296
627.442146 1.501708
628.010146 0.853122
628.577146 1.704534
629.145146 1.480948
629.710146 1.182355
630.277146 0.708766
630.845146 1.635180
631.412146 1.611592
631.979146 1.188004
632.544146 1.464411
633.111146 0.065822
633.679146 1.067236
634.246146 1.118648
634.811146 0.395055
635.378146 0.046467
635.945146 0.822878
636.510146 0.799285
637.077146 0.975697
637.643146 0.677106
638.208146 0.803513
638.775146 0.979924
639.342146 -0.018664
639.907146 0.857743
640.473146 1.259152
641.040146 0.535564
641.605146 0.586970
642.171146 0.738380
642.736146 0.264786
643.302146 0.716195
643.869146 0.317607
644.433146 1.219011
645.000146 0.770423
645.564146 0.396827
646.130146 0.798236
646.695146 0.849643
647.261146 0.126052
647.825146 -0.247543
648.391146 0.278866
648.956146 1.155273
649.522146 0.956682
650.086146 0.458086
650.652146 0.909495
651.216146 1.210899
651.782146 1.162309
652.346146 1.188713
652.910146 0.465117
653.476146 1.391526
654.040146 0.567930
654.605146 1.119337
655.169146 0.820741
655.733146 1.372146
656.299146 0.423555
656.862146 1.199957
657.426146 1.151361
657.991146 0.577768
658.555146 1.079172
659.119146 0.980576
659.684146 0.381983
660.248146 1.883387
660.811146 1.259789
661.374146 1.211190
661.940146 1.187600
662.503146 0.989001
663.066146 1.165403
663.630146 1.666807
664.193146 2.093209
664.758146 1.269616
665.321146 1.596017
665.884146 1.322419
666.447146 1.798821
667.010146 0.625223
667.575146 1.626629
668.138146 1.628031
668.701146 1.604433
669.264146 1.805835
669.827146 1.957236
670.390146 1.808638
670.953146 1.260040
671.515146 2.086439
672.078146 1.112841
672.641146 1.739243
673.204146 1.715644
673.768146 1.567049
674.331146 2.268450
674.893146 1.744849
675.456146 1.471251
676.018146 1.222650
676.581146 1.324052
677.143146 1.625451
677.706146 1.651853
678.266146 1.303247
678.828146 1.079647
679.390146 1.831046
679.953146 1.332448
680.515146 0.533847
681.077146 1.310246
681.639146 1.636645
682.201146 0.538045
682.763146 0.464444
683.325146 0.140843
683.887146 0.817242
684.447146 1.018637
685.009146 1.045036
685.571146 -0.078565
686.133146 0.622834
686.695146 0.749234
687.255146 0.925628
687.816146 0.552025
688.378146 0.153424
688.940146 1.104823
689.501146 -0.068780
690.061146 0.432614
690.623146 0.184013
691.184146 0.110410
691.746146 0.461809
692.305146 1.063201
692.867146 0.839600
693.428146 -0.934003
693.987146 -0.507611
694.549146 0.393788
695.110146 0.370185
695.669146 -0.103423
696.231146 0.422976
696.792146 0.074373
697.351146 -0.224235
697.912146 -0.072839
698.471146 0.528553
699.032146 -0.445050
699.593146 -0.168653
700.152146 -0.192262
700.713146 -0.815865
701.272146 0.235527
701.833146 -0.088076
702.392146 0.513315
702.953146 0.389712
703.511146 0.016102
704.072146 -0.307502
704.631146 -0.381110
705.192146 -0.479713
705.750146 -0.553324
706.311146 -0.176927
706.869146 -0.250538
707.430146 -0.399141
707.988146 -0.822752
708.547146 -0.296360
709.107146 -0.844966
709.666146 0.256426
710.226146 -0.217180
710.784146 -0.940790
711.343146 0.160601
711.903146 -0.538004
712.461146 -0.311615
713.019146 -0.635226
713.579146 -0.458832
714.138146 -0.982440
714.696146 -0.131051
715.256146 -0.429656
715.814146 -1.128267
716.372146 -0.751878
716.930146 -0.425488
717.490146 -0.474094
718.047146 -0.872707
718.605146 -0.321318
719.163146 -0.644929
719.723146 -0.918534
720.281146 -0.292145
720.838146 -0.840758
721.396146 -0.039369
721.954146 -0.562980
722.511146 0.063407
723.071146 -0.560199
723.628146 -0.483812
724.186146 -0.682423
724.743146 -0.206036
725.301146 -1.029647
725.858146 -0.703260
726.416146 -0.401870
726.973146 -0.375484
727.530146 -0.774097
728.089146 -0.647705
728.647146 -1.096316
729.204146 -0.319929
729.761146 -0.868542
730.318146 -0.467155
730.875146 -0.615769
731.432146 -0.889382
731.989146 -0.437995
732.546146 -0.136608
733.103146 -0.810221
733.660146 -0.733835
734.217146 -0.582448
734.772146 -0.081066
735.329146 -0.979679
735.886146 -0.578292
736.442146 -0.101908
736.999146 -0.350521
737.556146 -0.824135
738.112146 -0.822750
738.669146 -1.271363
739.225146 -0.919979
739.780146 -0.193597
740.337146 -0.467211
740.893146 -0.965826
741.449146 -1.039442
742.006146 -1.313055
742.562146 -0.211671
743.117146 -1.110289
743.673146 -0.608905
744.229146 -0.682520
744.785146 -0.331136
745.340146 -0.754754
745.896146 -0.503370
746.452146 -0.076986
747.008146 -1.125601
747.562146 -0.474222
748.118146 -0.672838
748.674146 -0.171453
749.228146 -0.720074
749.784146 -0.643690
750.340146 -1.192305
750.894146 -0.715926
751.450146 0.035458
752.003146 -0.888165
752.559146 -0.536781
753.115146 -0.410396
753.669146 -0.484017
754.224146 -0.257635
754.778146 -0.631256
755.333146 -0.929874
755.889146 -0.628490
756.442146 -0.527113
756.998146 -0.975729
757.551146 -1.074352
758.107146 -0.172967
758.660146 -0.546591
759.216146 -0.495206
759.769146 -0.518829
760.324146 -0.567448
760.877146 -0.066071
761.431146 -0.614691
761.986146 -0.688310
762.539146 -0.761933
763.094146 0.189449
763.647146 -0.809174
764.202146 -0.507792
764.755146 -0.206416
765.308146 -0.855039
765.863146 -0.428657
766.416146 -0.777280
766.969146 -0.550903
767.524146 -1.349521
768.077146 0.101855
768.629146 -0.471770
769.184146 -0.245388
769.737146 -0.794012
770.290146 -0.342635
770.844146 -0.816255
771.397146 0.110121
771.949146 -0.113504
